seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755020120,5,44,36,0.8181818181818182,safe,0.007,,False,8.299700130010024e-05,3.8941001548664644e-05
1755020121,5,210,206,0.9809523809523809,safe,0.007,False,False,0.004688667999289464,6.0846999986097217e-05
1755020122,5,632,516,0.8164556962025317,safe,0.007,False,False,0.007550774000264937,7.343199831666425e-05
1755020123,5,2822,2411,0.8543586109142453,safe,0.007,False,False,0.02213623400166398,5.4700001783203334e-05
1755020124,5,2464,2232,0.9058441558441559,safe,0.007,False,False,0.020387126998684835,6.262800161493942e-05
1755020125,5,4600,4300,0.9347826086956522,safe,0.007,False,False,0.00014247800208977424,4.314099714974873e-05
1755020126,5,402,312,0.7761194029850746,safe,0.007,False,False,0.002330143001017859,4.5116998080629855e-05
1755020127,5,23,20,0.8695652173913043,safe,0.007,False,False,0.00016728199989302084,4.0052000258583575e-05
1755020128,5,720,560,0.7777777777777778,safe,0.007,False,False,0.0008078210012172349,5.28900018252898e-05
1755020129,5,4000,3201,0.80025,safe,0.007,,False,0.016932729002292035,8.391500159632415e-05
1755020130,5,564,508,0.900709219858156,safe,0.007,False,False,0.0021262879999994766,5.922000127611682e-05
1755020131,5,2650,2325,0.8773584905660378,safe,0.007,False,False,0.005219604998274008,5.6941000366350636e-05
1755020132,5,2284,2142,0.9378283712784589,safe,0.007,False,False,0.018394339000224136,5.647299985866994e-05
1755020133,5,2290,2145,0.9366812227074236,safe,0.007,False,False,0.007406341002933914,7.490699863410555e-05
1755020134,5,610,505,0.8278688524590164,safe,0.007,False,False,0.012178187000245089,6.613000005017966e-05
1755020135,5,724,562,0.7762430939226519,safe,0.007,False,False,0.0016365139999834355,5.115799649502151e-05
1755020136,5,184,152,0.8260869565217391,safe,0.007,False,False,0.0027845209988299757,7.962500239955261e-05
1755020137,5,2054,2028,0.9873417721518988,safe,0.007,False,False,0.05613831800292246,8.527500176569447e-05
1755020138,5,822,631,0.767639902676399,safe,0.007,False,False,0.0035723930013773497,5.926400262978859e-05
1755020139,5,240,186,0.775,safe,0.007,,False,0.001683844002400292,5.6553999456809834e-05
1755020140,5,504,412,0.8174603174603174,safe,0.007,False,False,0.0008690039976499975,9.606900130165741e-05
1755020141,5,2417,2211,0.9147703764997931,safe,0.007,False,False,0.10733455699664773,8.479600001010112e-05
1755020142,5,2308,2154,0.9332755632582322,safe,0.007,False,False,0.09084111300035147,8.499799878336489e-05
1755020143,5,484,452,0.9338842975206612,safe,0.007,False,False,0.003332423002575524,6.994299837970175e-05
1755020144,5,110,106,0.9636363636363636,safe,0.007,False,False,0.0015041279984870926,5.262099875835702e-05
1755020145,5,220,170,0.7727272727272727,safe,0.007,False,False,0.0002520909984013997,5.2720999519806355e-05
1755020146,5,5100,4052,0.7945098039215687,safe,0.007,,False,0.008881535999535117,6.826399840065278e-05
1755020147,5,364,292,0.8021978021978022,safe,0.007,False,False,0.003988716001913417,6.849900091765448e-05
1755020148,5,316,259,0.819620253164557,safe,0.007,False,False,0.00236878099894966,6.176500028232113e-05
1755020149,5,5002,4101,0.8198720511795282,safe,0.007,,False,0.015430100000230595,7.456900129909627e-05
1755020150,5,2506,2253,0.8990422984836393,safe,0.007,False,False,0.11618175000330666,8.306200106744654e-05
1755020151,5,472,436,0.923728813559322,safe,0.007,False,False,0.00356552700031898,4.9457998102298006e-05
1755020152,5,4400,3225,0.7329545454545454,safe,0.007,,False,0.003553196002030745,5.666199649567716e-05
1755020153,5,584,502,0.8595890410958904,safe,0.007,False,False,0.0016759780010033865,6.138399839983322e-05
1755020154,5,4040,3221,0.7972772277227723,safe,0.007,False,False,0.02963640999951167,7.305599865503609e-05
1755020155,5,546,483,0.8846153846153846,safe,0.007,False,False,0.014123627999651944,0.00010699600170482881
1755020156,5,206,155,0.7524271844660194,safe,0.007,False,False,0.0011064350001106504,0.00010189299791818485
1755020157,5,2604,2302,0.8840245775729647,safe,0.007,False,False,0.011608827997406479,6.413400114979595e-05
1755020158,5,2544,2282,0.8970125786163522,safe,0.007,False,False,0.017080895999242784,9.091699757846072e-05
1755020159,5,2702,2351,0.8700962250185048,safe,0.007,False,False,0.02118725300169899,8.611500015831552e-05
1755020160,5,38,30,0.7894736842105263,safe,0.007,False,False,0.00020997400133637711,4.8262001655530185e-05
1755020161,5,4000,3211,0.80275,safe,0.007,,False,0.030166803000611253,7.069799903547391e-05
1755020162,5,2020,2011,0.9955445544554455,safe,0.007,False,False,0.32742865000182064,6.390899943653494e-05
1755020163,5,4004,3112,0.7772227772227772,safe,0.007,,False,0.030381263000890613,5.892300032428466e-05
1755020164,5,842.0,721,0.8562945368171021,safe,0.007,True,False,0.0019204659984097816,0.0009366839985887054
1755020165,5,4000,3082,0.7705,safe,0.007,,False,0.011951851000048919,5.7876000937540084e-05
1755020166,5,4000,3013,0.75325,safe,0.007,,False,0.17999640500056557,6.51400005153846e-05
1755020167,5,5002,4003,0.8002798880447821,safe,0.007,False,False,0.19284063699888065,7.908900079200976e-05
1755020168,5,2306,2153,0.9336513443191674,safe,0.007,False,False,0.11060266999993473,5.762499858974479e-05
1755020169,5,500,450,0.9,safe,0.007,False,False,0.0007215599980554543,4.332400203566067e-05
1755020170,5,2840,2480,0.8732394366197183,safe,0.007,False,False,0.0007193849996838253,4.8780999350128695e-05
1755020171,5,664,532,0.8012048192771084,safe,0.007,False,False,0.0012991809999221005,4.6507000661222264e-05
1755020172,5,274,238,0.8686131386861314,safe,0.007,False,False,0.0006335640027828049,4.438400355866179e-05
1755020173,5,502,401,0.798804780876494,safe,0.007,False,False,0.0008058430030359887,4.4734999391948804e-05
1755020174,5,704,652,0.9261363636363636,safe,0.007,,False,0.02532959100062726,7.107399869710207e-05
1755020175,5,516,459,0.8895348837209303,safe,0.007,False,False,0.00587959999757004,4.99359994137194e-05
1755020176,5,2202,2103,0.9550408719346049,safe,0.007,False,False,0.12681732100099907,7.697999899392016e-05
1755020177,5,720,560,0.7777777777777778,safe,0.007,False,False,0.0006320940010482445,4.674099909607321e-05
1755020178,5,512,456,0.890625,safe,0.007,False,False,0.004989316999854054,5.687099837814458e-05
1755020179,5,434,417,0.9608294930875576,safe,0.007,False,False,0.01484435399834183,6.779199975426309e-05
1755020180,5,2644,2322,0.8782148260211801,safe,0.007,False,False,0.009703703999548452,5.204399712965824e-05
1755020181,5,224,168,0.75,safe,0.007,,False,0.0002576080005383119,4.5814002078259364e-05
1755020182,5,2504,2252,0.8993610223642172,safe,0.007,False,False,0.31676845800029696,7.899600313976407e-05
1755020183,5,2226,2113,0.949236298292902,safe,0.007,False,False,0.19402168300075573,7.379299859167077e-05
1755020184,5,247,224,0.9068825910931174,safe,0.007,False,False,0.0030307009983516764,4.9958998715737835e-05
1755020185,5,60,46,0.7666666666666667,safe,0.007,,False,0.0001245380008185748,4.271199941285886e-05
1755020186,5,2422,2211,0.9128819157720892,safe,0.007,False,False,0.06079356600093888,6.215399844222702e-05
