seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,adjust,inserted,run_time_our,run_time_G
1755017182,3,274.5160727521118,264.27767998691667,0.9627038494957618,safe,0.0,False,False,6.145800216472708e-05,0.003182581996952649
1755017183,3,310.5461208014235,293.10033814291114,0.9438222489674313,safe,0.0,False,False,6.87020001350902e-05,0.001087541000742931
1755017184,3,299.52982729653183,298.4753424336885,0.9964795330322833,safe,0.0,True,False,0.006218851998710306,0.000785399999585934
1755017185,3,63.16914275311504,57.05828737607135,0.9032620182780247,safe,0.0,False,False,0.00010728800043580122,0.0003774920005525928
1755017186,3,226.50204523076377,216.76589142430544,0.95701516162232,safe,0.0,False,False,6.435300019802526e-05,0.005167327999515692
1755017187,3,14.65350392920317,11.653503929203147,0.7952708093235447,safe,0.0,False,False,6.037000275682658e-05,0.0001664039991737809
1755017188,3,277.60559139400294,258.6806348812265,0.931827898646622,safe,0.0,False,False,0.00010535800174693577,0.00027650699848891236
1755017189,3,333.0584167908817,289.0268764759293,0.8677963441392367,safe,0.0,False,False,6.154600123409182e-05,0.0003501880019030068
1755017190,3,1291.6685053075262,1261.4843167509598,0.9766316292202387,safe,0.0,False,False,0.00018729699877439998,0.021487489000719506
1755017191,3,44.927665577018686,38.7953392632389,0.8635066782344333,safe,0.0,False,False,6.566099909832701e-05,7.872700007283129e-05
1755017192,3,146.0320236279585,139.7206141212697,0.9567806474916202,safe,0.0,False,False,6.407099863281474e-05,0.0008461489996989258
1755017193,3,127.6975001193172,118.00756290217419,0.924118035137031,safe,0.0,False,False,9.625099846743979e-05,0.00038910100192879327
1755017194,3,1241.8106546807044,1229.8106546807016,0.9903366910609346,safe,0.0,False,False,9.718600267660804e-05,0.04391752099763835
1755017195,3,349.0608565861054,324.56071610988766,0.9298112635262669,safe,0.0,False,False,6.203500015544705e-05,0.000294664001557976
1755017196,3,1321.9518727224295,1295.3243043666798,0.9798573844440246,safe,0.0,False,False,0.00011102500138804317,0.0032020090002333745
1755017197,3,145.14924638943333,141.45863817388914,0.9745737004679835,safe,0.0,False,False,6.262500028242357e-05,0.008313454000017373
1755017198,3,100.64140274431082,81.9383973814721,0.8141619169363576,safe,0.0,False,False,0.00011941699995077215,0.00012638100088224746
1755017199,3,1274.004434706586,1254.190638763043,0.984447624039781,safe,0.0,False,False,0.00012206699830130674,0.008640852996904869
