seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755024807,3,2104,2052,0.9752851711026616,safe,0.0,False,False,0.0063651660002506105,4.144000013184268e-05
1755024808,3,16,14,0.875,safe,0.0,False,False,0.00012909399993077386,2.8771999495802447e-05
1755024809,3,504,452,0.8968253968253969,safe,0.0,False,False,0.0009017140000651125,3.39620000886498e-05
1755024810,3,2014,2008,0.997020854021847,safe,0.0,False,False,0.021968274000755628,5.6569000662420876e-05
1755024811,3,2500,2250,0.9,safe,0.0,False,False,0.0002610020001156954,3.409999953873921e-05
1755024812,3,2004,2002,0.999001996007984,safe,0.0,False,False,0.25384314600159996,5.884100028197281e-05
1755024813,3,320,260,0.8125,safe,0.0,False,False,0.0001375049996568123,3.131700032099616e-05
1755024814,3,2104,2052,0.9752851711026616,safe,0.0,False,False,0.006285688999923877,3.855199975077994e-05
1755024815,3,302,251,0.8311258278145696,safe,0.0,False,False,0.000784081001256709,4.333099968789611e-05
1755024816,3,2060,2030,0.9854368932038835,safe,0.0,False,False,0.00195634100055031,3.897500027960632e-05
1755024817,3,208,204,0.9807692307692307,safe,0.0,False,False,0.0008517449987266446,3.3305999750155024e-05
1755024818,3,8,8,1.0,safe,0.0,,False,9.764599963091314e-05,2.9691000236198306e-05
1755024819,3,2022,2011,0.9945598417408507,safe,0.0,False,False,0.023541990000012447,5.235900061961729e-05
1755024820,3,34,28,0.8235294117647058,safe,0.0,False,False,0.00010068200026580598,2.676700023584999e-05
1755024821,3,2204,2102,0.9537205081669692,safe,0.0,False,False,0.003662614000859321,3.533000017341692e-05
1755024822,3,2420,2210,0.9132231404958677,safe,0.0,False,False,0.0007197520008048741,3.4003000109805726e-05
1755024823,3,160,150,0.9375,safe,0.0,False,False,8.542699833924416e-05,3.221099905204028e-05
1755024824,3,214,208,0.9719626168224299,safe,0.0,False,False,0.0004654610002035042,2.8446998840081505e-05
1755024825,3,8,7,0.875,safe,0.0,,False,0.00010140699851035606,2.7150999812874943e-05
1755024826,3,422,411,0.9739336492890995,safe,0.0,False,False,0.002258300000903546,4.019599873572588e-05
1755024827,3,32,31,0.96875,safe,0.0,False,False,0.00010804100020322949,2.716999915719498e-05
1755024828,3,604,602,0.9966887417218543,safe,0.0,False,False,0.0005382510007621022,2.9644999813172035e-05
1755024829,3,114,108,0.9473684210526315,safe,0.0,False,False,0.000202698000066448,2.664400017238222e-05
1755024830,3,540,480,0.8888888888888888,safe,0.0,False,False,0.00014692799959448166,2.915499862865545e-05
1755024831,3,70,55,0.7857142857142857,safe,0.0,False,False,6.672400013485458e-05,2.8395001208991744e-05
1755024832,3,2220,2110,0.9504504504504504,safe,0.0,False,False,0.0010886130003200378,3.71389996871585e-05
1755024833,3,52,46,0.8846153846153846,safe,0.0,False,False,0.00018619199909153394,2.96199996228097e-05
1755024834,3,20,16,0.8,safe,0.0,,False,7.724699935351964e-05,3.0842000342090614e-05
1755024835,3,2120,2060,0.9716981132075472,safe,0.0,False,False,0.000962093999987701,3.313599881948903e-05
