seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our,finalpercent
1755016196,8,2514.0,2267,0.9017501988862372,safe,0.029,False,False,0.2623268509996705,7.861400081310421e-05,0.0421
1755016197,8,6224.0,5312,0.8534704370179949,safe,0.029,False,False,0.0166597330025979,6.67790009174496e-05,0.0421
1755016198,8,836.0,639,0.7643540669856459,safe,0.029,False,False,0.0073963790018751,6.093300180509687e-05,0.0421
1755016199,8,3702.0,2951,0.7971366828741221,safe,0.029,False,False,0.0226283429983595,6.741700053680688e-05,0.0421
1755016200,8,6020.0,4520,0.7508305647840532,safe,0.029,,False,0.0034623409992491,6.65259976813104e-05,0.0421
1755016201,8,2204.0,2112,0.9582577132486388,safe,0.029,False,False,0.0641502459984622,6.473500252468511e-05,0.0421
1755016202,8,5200.0,3551,0.6828846153846154,safe,0.029,,True,0.022955168999033,0.000100838002254,0.0421
1755016203,8,666.0,533,0.8003003003003003,safe,0.029,False,True,0.006723113998305,0.0001474949967814,0.0421
1755016204,8,1192.0,846,0.709731543624161,safe,0.029,False,True,0.0044042310000804,0.0001104440016206,0.0421
1755016205,8,1106.0,765,0.6916817359855335,safe,0.029,False,False,0.0089501260008546,6.178300100145862e-05,0.0421
1755016206,8,5240.0,3621,0.691030534351145,safe,0.029,False,False,0.0496451639992301,6.570900222868659e-05,0.0421
1755016207,8,392.0,296,0.7551020408163265,safe,0.029,False,False,0.0020066259967279,8.798600174486637e-05,0.0421
1755016208,8,2424.0,2222,0.9166666666666666,safe,0.029,False,False,0.034527451996837,5.861899990122765e-05,0.0421
1755016209,8,426.0,333,0.7816901408450704,safe,0.029,False,False,0.0022041359989088,6.041899905540049e-05,0.0421
1755016210,8,866.0,641,0.7401847575057737,safe,0.029,False,False,0.0102390189967991,6.292299804044887e-05,0.0421
1755016211,8,363.0,334,0.9201101928374656,safe,0.029,,False,0.0038339659986377,0.0001238440017914,0.0421
1755016212,8,4244.0,3190,0.7516493873704053,safe,0.029,False,False,0.1005978459979815,8.965599772636779e-05,0.0421
1755016213,8,680.0,541,0.7955882352941176,safe,0.029,False,False,0.0132569289999082,7.621199983987026e-05,0.0421
1755016214,8,6200.0,4218,0.6803225806451613,safe,0.029,,False,0.0448926450008002,8.15699968370609e-05,0.0421
1755016215,8,4630.0,3317,0.716414686825054,safe,0.029,False,False,0.3373173270010738,0.0001001860000542,0.0421
1755016216,8,2830.0,2415,0.8533568904593639,safe,0.029,False,False,0.2867419430003792,8.936900121625513e-05,0.0421
