seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent_x,finalpercent_y,finalpercent
1755016012,10,0.02,4643.706486094019,4577.2925447913,0.9856980751256348,safe,0.31,0.279,0.279,0.279
1755016013,10,0.02,2636.0999999999995,2470.9818472851184,0.9373627128277072,safe,0.31,0.279,0.279,0.279
1755016014,10,0.02,2951.2200000000003,2622.7914131763896,0.8887142988921156,safe,0.31,0.279,0.279,0.279
1755016015,10,0.02,0.0,5949.736334415587,,,0.31,0.279,0.279,0.279
1755016016,10,0.02,7174.256357697324,7159.412323779585,0.9979309306529291,safe,0.31,0.279,0.279,0.279
1755016017,10,0.02,953.44,796.2169585045776,0.8350991761459322,safe,0.31,0.279,0.279,0.279
1755016018,10,0.02,1051.5005511890963,1009.5955748332854,0.9601474518406838,safe,0.31,0.279,0.279,0.279
1755016019,10,0.02,0.0,1678.9883009280893,,,0.31,0.279,0.279,0.279
1755016020,10,0.02,3335.02,2948.967235096104,0.8842427437005186,safe,0.31,0.279,0.279,0.279
1755016021,10,0.02,7429.873089165028,7302.168363379964,0.9828119909650548,safe,0.31,0.279,0.279,0.279
1755016022,10,0.02,0.0,4278.057583893009,,,0.31,0.279,0.279,0.279
1755016023,10,0.02,3072.42,2838.9659524392955,0.9240162322987402,safe,0.31,0.279,0.279,0.279
1755016024,10,0.02,4357.150535723031,4134.911953010789,0.9489945135266338,safe,0.31,0.279,0.279,0.279
1755016025,10,0.02,4634.842185658737,4503.491002956405,0.971660052825798,safe,0.31,0.279,0.279,0.279
1755016026,10,0.02,4207.698168103885,4178.253537853641,0.9930021999977454,safe,0.31,0.279,0.279,0.279
1755016027,10,0.02,4468.34771338467,4278.91147424054,0.9576048572548004,safe,0.31,0.279,0.279,0.279
1755016028,10,0.02,5224.495681780078,5181.478541949525,0.9917662598553636,safe,0.31,0.279,0.279,0.279
1755016029,10,0.02,0.0,4947.577037789562,,,0.31,0.279,0.279,0.279
1755016030,10,0.02,5050.503875784869,5037.920360760628,0.9975084634456824,safe,0.31,0.279,0.279,0.279
1755016031,10,0.02,0.0,3646.176485796768,,,0.31,0.279,0.279,0.279
1755016032,10,0.02,364.01882131809566,317.6790143441667,0.8726994203043277,safe,0.31,0.279,0.279,0.279
1755016033,10,0.02,0.0,838.7067304272168,,,0.31,0.279,0.279,0.279
1755016034,10,0.02,2967.7914728775977,2648.173340549876,0.8923043834957118,safe,0.31,0.279,0.279,0.279
1755016035,10,0.02,5840.698726647003,5799.840511049617,0.9930045671743042,safe,0.31,0.279,0.279,0.279
1755016036,10,0.02,6314.6739514727815,6107.262051107027,0.9671539810353345,safe,0.31,0.279,0.279,0.279
1755016037,10,0.02,2875.81222870314,2765.338646771568,0.9615852589995448,safe,0.31,0.279,0.279,0.279
1755016038,10,0.02,0.0,702.694816450603,,,0.31,0.279,0.279,0.279
1755016039,10,0.02,5371.774168116742,5245.825750305627,0.9765536647912972,safe,0.31,0.279,0.279,0.279
1755016040,10,0.02,4286.300725510803,4174.395370368424,0.9738923229356372,safe,0.31,0.279,0.279,0.279
1755016041,10,0.02,6296.989559610361,6137.35890036713,0.9746496865316212,safe,0.31,0.279,0.279,0.279
1755016042,10,0.02,224.58934912663105,208.5312490199184,0.9285001707821036,safe,0.31,0.279,0.279,0.279
1755016043,10,0.02,2955.26,2731.074113595252,0.9241400464240884,safe,0.31,0.279,0.279,0.279
1755016044,10,0.02,431.2806333409293,427.1865506135328,0.9905071491486144,safe,0.31,0.279,0.279,0.279
1755016045,10,0.02,3013.84,2775.5025026046205,0.9209189945732424,safe,0.31,0.279,0.279,0.279
1755016046,10,0.02,3692.56,3282.888112091676,0.8890547782816465,safe,0.31,0.279,0.279,0.279
1755016047,10,0.02,2269.031391477847,2206.8337663417774,0.9725884686436358,safe,0.31,0.279,0.279,0.279
1755016048,10,0.02,1231.8786048922748,1120.1021192962958,0.90926339238942,safe,0.31,0.279,0.279,0.279
1755016049,10,0.02,2920.92,2654.403917564363,0.9087561171015854,safe,0.31,0.279,0.279,0.279
1755016050,10,0.02,2411.88,2321.274888481029,0.9624338227776792,safe,0.31,0.279,0.279,0.279
1755016051,10,0.02,232.3495931085181,218.3615431740945,0.9397973986212644,safe,0.31,0.279,0.279,0.279
1755016052,10,0.02,0.0,1165.6553280234511,,,0.31,0.279,0.279,0.279
1755016053,10,0.02,6111.821768836762,6111.189965801779,0.999896626070118,safe,0.31,0.279,0.279,0.279
1755016054,10,0.02,0.0,848.8035601133017,,,0.31,0.279,0.279,0.279
1755016055,10,0.02,0.0,2412.1068324966573,,,0.31,0.279,0.279,0.279
1755016056,10,0.02,0.0,3580.17064999936,,,0.31,0.279,0.279,0.279
1755016057,10,0.02,5588.767890607925,5527.681520916113,0.9890697966193104,safe,0.31,0.279,0.279,0.279
1755016058,10,0.02,0.0,784.1698714219658,,,0.31,0.279,0.279,0.279
