seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G
1755024220,10,0,349.88426119994034,,,0.705,5.850500019732863e-05,0.10624848799852771
1755024221,10,2206.038586072745,1973.8089320223485,0.8947300126495888,safe,0.705,0.00011704300050041638,0.12905376799972146
1755024222,10,2704.324736239806,2484.103087007465,0.918566862077908,safe,0.705,0.00011597699995036237,0.11485892699784017
1755024223,10,0,1149.650473431212,,,0.705,6.331199983833358e-05,0.5046619390013802
1755024224,10,569.8688193302748,491.18484018109444,0.8619261547918134,safe,0.705,0.00014164000094751827,0.023093962998245843
1755024225,10,1683.7635219718973,1569.3193041417696,0.9320307060126239,safe,0.705,0.00013674900037585758,0.35902784599966253
1755024226,10,0,1395.22713488522,,,0.705,0.00013403999764705077,0.16604567199829035
1755024227,10,0,266.68925122260913,,,0.705,6.52009985060431e-05,0.036296386999310926
1755024228,10,0,1232.3636366964777,,,0.705,6.091399700380862e-05,1.2436189869986265
1755024229,10,0,1995.6671087900606,,,0.705,0.000123352998343762,0.2938980300023104
1755024230,10,0,1345.197757614254,,,0.705,6.1656999605475e-05,1.582528196999192
1755024231,10,2970.7817640168496,2908.927807371175,0.9791792324179206,safe,0.705,0.00010815400310093537,0.9172959540010197
1755024232,10,0,1635.1330640954106,,,0.705,0.00010727699918788858,0.5050592970001162
1755024233,10,473.93503644945145,361.04966512438153,0.761812563656897,safe,0.705,0.00010416900113341399,0.018143167999369325
1755024234,10,543.1579589097871,485.9673302982052,0.8947071884459292,safe,0.705,9.223399683833122e-05,0.04055742399941664
1755024235,10,0,1341.3354040281447,,,0.705,0.00010752299931482412,1.3941733309984556
1755024236,10,0,2391.7340567904903,,,0.705,0.00016361499729100615,0.02834775999872363
1755024237,10,0,289.7702700064323,,,0.705,0.0001256180003110785,0.017177629000798333
1755024238,10,1659.8438422206482,1469.1764596445373,0.8851293249845579,safe,0.705,0.00013025499720242806,0.665419015000225
1755024239,10,0,1267.9684233386813,,,0.705,0.00020562099962262437,0.9525248669997382
1755024240,10,0,1474.3054302831522,,,0.705,5.573400267167017e-05,0.842116891999467
1755024241,10,0,1459.5428339977386,,,0.705,0.00011178299973835237,0.05617915399852791
1755024242,10,3139.458546068795,2943.6056717143947,0.9376157157419245,safe,0.705,0.00010668899994925596,0.01861777999874903
1755024243,10,0,1080.9278694288373,,,0.705,5.062700074631721e-05,1.8160891859988624
1755024244,10,0,2017.9351185729934,,,0.705,4.9230999138671905e-05,1.2712954859998717
1755024245,10,0,1267.9842776967662,,,0.705,5.1995000831084326e-05,0.24845294099941384
1755024246,10,598.7397919114258,479.5947379712003,0.801006955692948,safe,0.705,9.824799781199545e-05,0.024380710998229915
1755024247,10,0,409.952490996283,,,0.705,4.804000127478503e-05,0.06796024499999476
1755024248,10,0,1351.3239056832203,,,0.705,4.0794999222271144e-05,0.7723066769976867
1755024249,10,0,1192.6385747935035,,,0.705,7.425999865517952e-05,0.03456472699690494
1755024250,10,0,1169.417503125053,,,0.705,6.0092999774497e-05,1.152546548000828
1755024251,10,1644.1706323771182,1477.257618726173,0.8984819395480719,safe,0.705,0.00010812399705173448,0.16363117299988517
1755024252,10,0,320.30169219032206,,,0.705,4.1282000893261284e-05,0.08209853199878125
1755024253,10,0,1348.7762683278283,,,0.705,5.2740000683115795e-05,0.46674364199861884
1755024254,10,1522.1835659880594,1326.9984597171397,0.8717729512838198,safe,0.705,0.00011355600145179778,0.8403341839984932
1755024255,10,2163.950796565063,2045.6651774962827,0.9453381198608858,safe,0.705,9.338300151284784e-05,0.3327531920003821
1755024256,10,1562.4907087463916,1357.5030456479863,0.8688071154913491,safe,0.705,9.804900037124753e-05,0.34183477300030063
1755024257,10,0,2367.209695459537,,,0.705,7.945899778860621e-05,0.3814606830019329
1755024258,10,0,2149.95197848712,,,0.705,4.3821000872412696e-05,0.762439911999536
1755024259,10,2449.218669339168,2259.2739070017633,0.9224467930465945,safe,0.705,0.00010390899842604995,0.6628028369996173
1755024260,10,1494.4229014475725,1266.4261960753356,0.8474349495371171,safe,0.705,9.78639982349705e-05,0.29535837699950207
1755024261,10,0,845.7350401080247,,,0.705,3.537700104061514e-05,0.0132728179996775
1755024262,10,0,670.5727280811439,,,0.705,8.235699715442024e-05,0.021578035997663392
1755024263,10,347.66312111819957,275.7896517092147,0.7932669154616802,safe,0.705,8.893300037016161e-05,0.001221525999426376
1755024264,10,0,1248.8522122800832,,,0.705,8.099399929051287e-05,0.2602256239988492
1755024265,10,0,1217.9493359648245,,,0.705,8.082800195552409e-05,0.740086234996852
1755024266,10,1361.2293102649292,1286.7227209586742,0.9452652181785932,safe,0.705,9.363499702885747e-05,0.12658024099800969
1755024267,10,0,2019.2541835478032,,,0.705,0.00010226000085822307,0.4793291349997162
1755024268,10,1653.475756975787,1450.023515231367,0.8769548081451555,safe,0.705,0.00010433600255055353,0.05330440200123121
1755024269,10,0,1173.1994207237344,,,0.705,8.20419991214294e-05,0.239969693000603
1755024270,10,0,1204.347169258967,,,0.705,5.357799818739295e-05,0.23316507400159026
1755024271,10,0,1327.6862686813308,,,0.705,4.38069982919842e-05,0.16894332399897394
1755024272,10,0,1128.440428800809,,,0.705,5.092300125397742e-05,0.9557093769981293
1755024273,10,1707.3790374341525,1554.8823023038738,0.9106837252966098,safe,0.705,9.101099931285717e-05,0.8186968029986019
1755024274,10,0,2123.7746226518734,,,0.705,9.756599683896638e-05,1.258413160998316
1755024275,10,1292.95811656999,1232.588338461594,0.9533087906447061,safe,0.705,0.00010129099973710254,0.61013815899787
1755024276,10,0,1319.7376613980052,,,0.705,5.11799989908468e-05,1.5684250480007904
1755024277,10,2816.412697900857,2763.641852405239,0.9812630991420578,safe,0.705,0.0001118949985539075,0.10103505900042364
1755024278,10,0,377.07278450824936,,,0.705,6.424199818866327e-05,0.012235993002832402
1755024279,10,0,357.38756513193,,,0.705,4.051400173921138e-05,0.04630245400039712
1755024280,10,1434.1990469102425,1358.9931639681881,0.9475624508996338,safe,0.705,9.998899986385368e-05,0.5341039480008476
1755024281,10,0,1371.5570469614943,,,0.705,5.58299980184529e-05,0.22416312099812785
1755024282,10,0,1292.5217392285826,,,0.705,6.0638001741608605e-05,0.40575750100106234
1755024283,10,1205.8991980113524,1159.4128428688555,0.9614508781337964,safe,0.705,9.258400314138271e-05,0.8616952370030049
1755024284,10,0,1458.9391368962674,,,0.705,4.8122001317096874e-05,1.7373369240012835
1755024285,10,0,1147.8280465657976,,,0.705,7.584299964946695e-05,0.08966636799959815
1755024286,10,0,1887.5445391910325,,,0.705,4.5219996536616236e-05,1.3365848949979409
1755024287,10,1402.3666223354007,1095.796199336492,0.7813906733687312,safe,0.705,7.278399789356627e-05,0.03596475199810811
1755024288,10,0,282.9102071097905,,,0.705,3.773900243686512e-05,0.0498932890004653
1755024289,10,1379.413773079898,1280.2537287316381,0.9281143582270754,safe,0.705,8.014699778868817e-05,0.26892341100028716
1755024290,10,1638.9268544942233,1464.540464288806,0.8935972098283586,safe,0.705,7.656399975530803e-05,0.26483891600219067
1755024291,10,0,469.18200759420586,,,0.705,3.800899867201224e-05,0.012570585000503343
1755024292,10,0,2103.497975077666,,,0.705,4.260000059730373e-05,0.5299419010007114
1755024293,10,0,347.686123124205,,,0.705,2.997800038428977e-05,0.020143215002462966
1755024294,10,0,210.836387900843,,,0.705,3.266299972892739e-05,0.008861005000653677
1755024295,10,0,297.85110267078085,,,0.705,3.423000089242123e-05,0.0379547399970761
1755024296,10,1291.5613343846712,1204.2199143568193,0.9323753214790506,safe,0.705,8.191999950213358e-05,0.06079770299766096
1755024297,10,0,1885.2863889058438,,,0.705,3.6075998650630936e-05,0.9196306120029476
1755024298,10,0,2583.6104261405453,,,0.705,3.186300091329031e-05,0.1262071669989382
1755024299,10,0,252.55017854147454,,,0.705,3.247700078645721e-05,0.046611716999905184
1755024300,10,0,426.2723154878596,,,0.705,3.0802002584096044e-05,0.00827928999933647
1755024301,10,0,1313.5152243300809,,,0.705,3.366499731782824e-05,0.5602108359998965
1755024302,10,0,1121.6876129063892,,,0.705,6.217000191099942e-05,0.33068119100062177
1755024303,10,0,1297.6208098032696,,,0.705,4.279800123185851e-05,0.6130664629999956
1755024304,10,0,1962.2649294251787,,,0.705,5.658600275637582e-05,0.25990837999779615
1755024305,10,1936.1995399602806,1664.908842993233,0.859884949165615,safe,0.705,8.053800047491677e-05,0.3767324299988104
1755024306,10,0,28.451372392999776,,,0.705,3.398399712750688e-05,0.0008641479980724398
1755024307,10,0,328.3733683248125,,,0.705,6.808100079069845e-05,0.007378629998129327
1755024308,10,1544.5940264719911,1284.7518048700797,0.83177312798793,safe,0.705,0.00013067799955024384,0.20641035799781093
1755024309,10,0,265.57730326235685,,,0.705,7.034099689917639e-05,0.033288415001152316
1755024310,10,0,411.52205945673023,,,0.705,8.489700121572241e-05,0.01579167100135237
1755024311,10,729.6062973330655,608.3577946551349,0.8338165348611558,safe,0.705,7.341600212384947e-05,0.007774491998134181
1755024312,10,0,474.2187723436571,,,0.705,6.097900040913373e-05,0.01411919299789588
1755024313,10,0,2460.9549856511567,,,0.705,3.5247001505922526e-05,0.5647880399992573
1755024314,10,1788.336049830937,1576.1108731645006,0.88132813366565,safe,0.705,6.711999958497472e-05,0.02092553200054681
1755024315,10,0,1075.4388992698766,,,0.705,9.751900142873637e-05,1.9095159169992257
1755024316,10,0,2312.3016537235394,,,0.705,9.733399929245934e-05,0.15763715300272452
1755024317,10,1740.26393196463,1521.9140581773474,0.8745305986197268,safe,0.705,0.00010833399937837385,0.033819725998910144
1755024318,10,2493.6977603097193,2245.085141667661,0.9003036283710739,safe,0.705,0.00012064499969710596,0.09709663400280988
1755024319,10,0,210.3728042170359,,,0.705,6.155899973236956e-05,0.03242845299973851
1755024320,10,0,1417.913678841257,,,0.705,9.521600077277981e-05,1.4923738309989858
1755024321,10,0,167.59332112099844,,,0.705,8.268099918495864e-05,0.022695986001053825
1755024322,10,0,483.6614525493121,,,0.705,6.407299952115864e-05,0.005746037000790238
1755024323,10,0,1192.6283372486628,,,0.705,0.00011595999967539683,0.8204358080001839
1755024324,10,0,1356.985832253113,,,0.705,0.00013550100266002119,1.5104816780003603
1755024325,10,0,1221.8496865552297,,,0.705,8.127299952320755e-05,1.7016549899999518
1755024326,10,0,212.91090311840128,,,0.705,7.285600077011622e-05,0.028956258000107482
1755024327,10,0,1226.0177016662433,,,0.705,0.00010321799709345214,0.026093335000041407
1755024328,10,0,1126.6013852822823,,,0.705,8.699899990460835e-05,1.6032572710028035
1755024329,10,1482.7175170305763,1211.947027839743,0.8173822821402267,safe,0.705,0.00012203499863971956,0.27314709599886555
1755024330,10,0,1027.6216179473354,,,0.705,6.036099875927903e-05,2.928354379000666
1755024331,10,1703.5724206536916,1539.6562739566689,0.9037809342827203,safe,0.705,0.00013853299969923683,0.6116928660012491
1755024332,10,541.0896821758333,517.2295125802586,0.9559034844286293,safe,0.705,8.60699983604718e-05,0.039043344997480744
1755024333,10,0,1812.9950436019794,,,0.705,5.8480996813159436e-05,2.516634748000797
1755024334,10,0,3155.9976482942775,,,0.705,7.039300180622377e-05,0.8092887380007596
1755024335,10,0,1293.9274809280917,,,0.705,5.868500011274591e-05,0.10115521700208774
1755024336,10,2380.9409424713085,2155.4371314402124,0.9052879443548761,safe,0.705,0.00012993800191907212,0.34177071299927775
1755024337,10,4158.495597542673,3997.2873438636416,0.9612339967909809,safe,0.705,8.811899897409603e-05,0.07015889000103925
1755024338,10,2269.2580358601745,1962.2967549749424,0.86473055243853,safe,0.705,0.0001312179992964957,0.025861735000944464
1755024339,10,0,306.7448151866206,,,0.705,8.509199687978253e-05,0.023066309000569163
1755024340,10,1429.5637151499207,1305.7772731246123,0.9134096363012917,safe,0.705,0.00013732400111621246,1.3287153070014028
1755024341,10,0,275.65824368782023,,,0.705,6.0685997596010566e-05,0.0349997240009543
1755024342,10,0,1167.6410773602004,,,0.705,4.450099731911905e-05,1.8586448919995746
1755024343,10,0,538.9786076154899,,,0.705,7.177400038926862e-05,0.0005461229993670713
1755024344,10,786.9453458324746,658.5802380591467,0.836881800682694,safe,0.705,0.0001083329989342019,0.017982221997954184
1755024345,10,0,1409.3483729713053,,,0.705,6.663699969067238e-05,1.2571158469982038
1755024346,10,0,396.74302167615383,,,0.705,6.54479990771506e-05,0.03136535700105014
1755024347,10,0,407.78888453957177,,,0.705,6.034099715179764e-05,0.004111805999855278
1755024348,10,0,1157.2751431111903,,,0.705,9.789499745238572e-05,1.0574401619996934
1755024349,10,0,390.7837615048055,,,0.705,7.976599954417907e-05,0.08186984200074221
1755024350,10,0,269.41854683946525,,,0.705,8.0418998550158e-05,0.04014784600076382
1755024351,10,2425.380901000459,2231.193645563466,0.919935357222904,safe,0.705,0.00013196299914852716,0.6143920539980172
1755024352,10,0,2702.564023513687,,,0.705,0.00019414399866946042,0.0837450360013463
1755024353,10,0,1178.234226351039,,,0.705,5.573200178332627e-05,1.056692064001254
1755024354,10,521.7701329691688,474.7369193973741,0.9098583636741548,safe,0.705,0.0001313719985773787,0.015582083000481362
1755024355,10,0,3022.601902640611,,,0.705,9.789799878490157e-05,0.18848634200185188
1755024356,10,0,1268.8751742527288,,,0.705,0.00010048200056189671,0.23435588700158405
1755024357,10,0,408.59379745223356,,,0.705,0.0004205629993521143,0.015314166001189733
1755024358,10,0,1402.4657064499347,,,0.705,4.3191997974645346e-05,1.5157580609993602
1755024359,10,0,1227.1925946655692,,,0.705,7.748900316073559e-05,0.2741771270011668
1755024360,10,0,1200.9763501301284,,,0.705,4.373699994175695e-05,0.6601918509986717
1755024361,10,2183.544940873385,2074.4218740964134,0.9500248129844656,safe,0.705,0.00012364299982436933,0.18282212000121945
1755024362,10,0,1130.5549001484842,,,0.705,8.059500032686628e-05,1.359227083998121
1755024363,10,0,2567.233459353421,,,0.705,0.00013011899864068255,1.2330255519991624
1755024364,10,1679.647810361746,1522.9474100878729,0.9067063944553206,safe,0.705,0.00012217499897815287,0.12595037700157263
1755024365,10,2451.3555708277254,2121.4326597847294,0.8654120540613396,safe,0.705,0.00010539999857428484,0.1404662479981198
1755024366,10,1409.8509347535946,1282.38752637484,0.9095908615324414,safe,0.705,0.00012126799992984161,1.0505398790010076
1755024367,10,0,1499.9037350786343,,,0.705,9.539700113236904e-05,0.05886371999804396
1755024368,10,0,1748.2189528463869,,,0.705,0.0001605079996807035,0.5126631950006413
1755024369,10,0,1424.4143334347118,,,0.705,6.627000038861297e-05,0.027197506999073084
1755024370,10,1446.6558329945165,1253.281960283699,0.8663304233802854,safe,0.705,0.00011425000047893263,0.7156646539988287
1755024371,10,0,228.26234458672883,,,0.705,7.81639973865822e-05,0.00510185999883106
