seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage
1756823958,3,0,124,112,0.9032258064516129,safe,0.0
1756823959,3,0,46,43,0.9347826086956522,safe,0.0
1756823960,3,0,52,46,0.8846153846153846,safe,0.0
1756823961,3,0,48,44,0.9166666666666666,safe,0.0
1756823962,3,0,304,302,0.993421052631579,safe,0.0
1756823963,3,0,340,280,0.8235294117647058,safe,0.0
1756823964,3,0,610,605,0.9918032786885246,safe,0.0
1756823965,3,0,2202,2101,0.9541326067211626,safe,0.0
1756823966,3,0,430,420,0.9767441860465116,safe,0.0
1756823967,3,0,430,415,0.9651162790697675,safe,0.0
1756823968,3,0,2140,2080,0.9719626168224299,safe,0.0
1756823969,3,0,54,48,0.8888888888888888,safe,0.0
1756823970,3,0,2014,2008,0.997020854021847,safe,0.0
1756823971,3,0,106,103,0.9716981132075472,safe,0.0
1756823972,3,0,2110,2055,0.9739336492890995,safe,0.0
1756823973,3,0,2420,2210,0.9132231404958677,safe,0.0
1756823974,3,0,80,60,0.75,safe,0.0
1756823975,3,0,16,14,0.875,safe,0.0
1756823976,3,0,244,222,0.9098360655737705,safe,0.0
1756823977,3,0,2006,2003,0.9985044865403788,safe,0.0
1756823978,3,0,80,61,0.7625,safe,0.0
1756823979,3,0,124,112,0.9032258064516129,safe,0.0
1756823980,3,0,3002,3001,0.9996668887408394,safe,0.0
1756823981,3,0,2110,2055,0.9739336492890995,safe,0.0
1756823982,3,0,800,700,0.875,safe,0.0
1756823983,3,0,130,115,0.8846153846153846,safe,0.0
1756823984,3,0,460,430,0.9347826086956522,safe,0.0
1756823985,3,0,4,4,1.0,safe,0.0
1756823986,3,0,122,111,0.9098360655737705,safe,0.0
1756823987,3,0,2008,2004,0.99800796812749,safe,0.0
1756823988,3,0,220,210,0.9545454545454546,safe,0.0
1756823989,3,0,140,120,0.8571428571428571,safe,0.0
1756823990,3,0,2104,2052,0.9752851711026616,safe,0.0
1756823991,3,0,190,180,0.9473684210526315,safe,0.0
1756823992,3,0,2300,2150,0.9347826086956522,safe,0.0
1756823993,3,0,2240,2120,0.9464285714285714,safe,0.0
1756823994,3,0,250,225,0.9,safe,0.0
1756823995,3,0,442,421,0.9524886877828054,safe,0.0
1756823996,3,0,320,260,0.8125,safe,0.0
1756823997,3,0,106,103,0.9716981132075472,safe,0.0
1756823998,3,0,2410,2205,0.9149377593360996,safe,0.0
1756823999,3,0,800,602,0.7525,safe,0.0
1756824000,3,0,412,406,0.9854368932038835,safe,0.0
1756824001,3,0,2120,2060,0.9716981132075472,safe,0.0
1756824002,3,0,404,402,0.995049504950495,safe,0.0
1756824003,3,0,150,135,0.9,safe,0.0
1756824004,3,0,480,440,0.9166666666666666,safe,0.0
1756824005,3,0,400,350,0.875,safe,0.0
1756824006,3,0,2600,2400,0.9230769230769231,safe,0.0
1756824007,3,0,700,600,0.8571428571428571,safe,0.0
1756824008,3,0,422,411,0.9739336492890995,safe,0.0
1756824009,3,0,320,260,0.8125,safe,0.0
1756824010,3,0,52,46,0.8846153846153846,safe,0.0
1756824011,3,0,3100,3050,0.9838709677419355,safe,0.0
1756824012,3,0,150,135,0.9,safe,0.0
1756824013,3,0,2003,2002,0.9995007488766849,safe,0.0
1756824014,3,0,52,46,0.8846153846153846,safe,0.0
1756824015,3,0,2210,2105,0.9524886877828054,safe,0.0
1756824016,3,0,2030,2015,0.9926108374384236,safe,0.0
1756824017,3,0,520,460,0.8846153846153846,safe,0.0
1756824018,3,0,124,112,0.9032258064516129,safe,0.0
1756824019,3,0,212,206,0.9716981132075472,safe,0.0
1756824020,3,0,2024,2012,0.9940711462450593,safe,0.0
1756824021,3,0,130,115,0.8846153846153846,safe,0.0
1756824022,3,0,26,23,0.8846153846153846,safe,0.0
