seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G
1756845757,10,0,2794,2680,0.9591982820329277,safe,0.166,3.095786087214947e-05,0.0007102298550307751
1756845758,10,0,2306,2241,0.9718126626192541,safe,0.166,3.625592216849327e-05,0.40654989890754223
1756845759,10,0,0,1004,,,0.166,2.0453007891774178e-05,0.000254026148468256
1756845760,10,0,0,700,,,0.166,2.2795982658863068e-05,8.575082756578922e-05
1756845761,10,0,4700,4610,0.9808510638297873,safe,0.166,3.3493852242827415e-05,0.0059446049854159355
1756845762,10,0,1410,1305,0.925531914893617,safe,0.166,3.362889401614666e-05,0.000301190884783864
1756845763,10,0,0,4720,,,0.166,1.741410233080387e-05,0.0006897239945828915
1756845764,10,0,4902,4801,0.9793961648306814,safe,0.166,4.122406244277954e-05,0.003508040914312005
1756845765,10,0,2772,2601,0.9383116883116883,safe,0.166,3.094598650932312e-05,0.5038820228073746
1756845766,10,0,4064,4040,0.9940944881889764,safe,0.166,3.530713729560375e-05,0.00047576799988746643
1756845767,10,0,2404,2256,0.9384359400998337,safe,0.166,3.197719343006611e-05,0.21214190404862165
1756845768,10,0,2648,2420,0.9138972809667674,safe,0.166,4.068599082529545e-05,0.0014019929803907871
1756845769,10,0,4546,4400,0.9678838539375275,safe,0.166,3.2989075407385826e-05,0.0014923850540071726
1756845770,10,0,0,920,,,0.166,2.9390910640358925e-05,0.0007452620193362236
1756845771,10,0,3254,3032,0.9317762753534112,safe,0.166,3.46931628882885e-05,0.02616627886891365
1756845772,10,0,4700,4350,0.925531914893617,safe,0.166,5.498412065207958e-05,0.001420896966010332
1756845773,10,0,2402,2293,0.9546211490424646,safe,0.166,3.834208473563194e-05,0.014510825974866748
1756845774,10,0,1474,1432,0.9715061058344641,safe,0.166,3.3676158636808395e-05,0.0002883030101656914
1756845775,10,0,2924,2812,0.9616963064295485,safe,0.166,3.999611362814903e-05,0.011063119163736701
1756845776,10,0,1172,1020,0.8703071672354948,safe,0.166,3.3482909202575684e-05,0.00043430901132524014
1756845777,10,0,2760,2600,0.9420289855072463,safe,0.166,4.015606828033924e-05,0.0017248678486794233
1756845778,10,0,2764,2500,0.9044862518089725,safe,0.166,3.612390719354153e-05,0.002542586997151375
1756845779,10,0,4050,4025,0.9938271604938271,safe,0.166,3.3510150387883186e-05,0.46033189608715475
1756845780,10,0,0,81,,,0.166,3.806105814874172e-05,0.00041012815199792385
1756845781,10,0,931,920,0.9881847475832438,safe,0.166,3.361492417752743e-05,0.0023405111860483885
1756845782,10,0,2766,2711,0.980115690527838,safe,0.166,3.6156969144940376e-05,0.31512748589739203
1756845783,10,0,2992,2520,0.8422459893048129,safe,0.166,3.5076867789030075e-05,0.10185071197338402
1756845784,10,0,0,1052,,,0.166,3.5741133615374565e-05,0.0023071840405464172
1756845785,10,0,4064,3420,0.8415354330708661,safe,0.166,4.278309643268585e-05,0.03444034606218338
1756845786,10,0,2706,2486,0.9186991869918699,safe,0.166,3.930204547941685e-05,0.107404843904078
1756845787,10,0,4112,4056,0.9863813229571985,safe,0.166,3.5603996366262436e-05,0.13435704307630658
1756845788,10,0,6104,6052,0.991480996068152,safe,0.166,3.85199673473835e-05,0.02454809588380158
1756845789,10,0,2841,2510,0.8834917282646956,safe,0.166,3.364798612892628e-05,0.04047984001226723
1756845790,10,0,0,390,,,0.166,3.0525028705596924e-05,0.00029463786631822586
1756845791,10,0,0,1200,,,0.166,2.3074215278029442e-05,0.00031196093186736107
1756845792,10,0,0,940,,,0.166,1.9070925191044807e-05,0.0001988699659705162
1756845793,10,0,0,380,,,0.166,2.7081230655312538e-05,0.00011890102177858353
1756845794,10,0,2900,2640,0.9103448275862069,safe,0.166,7.082708179950714e-05,0.006607956951484084
1756845795,10,0,2870,2641,0.9202090592334494,safe,0.166,3.502401523292065e-05,0.02690953598357737
1756845796,10,0,1228,1101,0.8965798045602605,safe,0.166,3.261817619204521e-05,0.0009556449949741364
1756845797,10,0,1154,1050,0.9098786828422877,safe,0.166,3.251200541853905e-05,0.0004254579544067383
1756845798,10,0,0,1000,,,0.166,3.0979979783296585e-05,0.00019531603902578354
1756845799,10,0,4044,4022,0.9945598417408507,safe,0.166,3.429502248764038e-05,0.04242063406854868
1756845800,10,0,2896,2681,0.9257596685082873,safe,0.166,3.879913128912449e-05,0.21301124501042068
1756845801,10,0,3332,3001,0.9006602641056423,safe,0.166,3.104517236351967e-05,0.08290201891213655
1756845802,10,0,2970,2655,0.8939393939393939,safe,0.166,3.447593189775944e-05,0.40324947610497475
1756845803,10,0,4502,4251,0.944247001332741,safe,0.166,3.3502932637929916e-05,0.014657416148111224
1756845804,10,0,2518,2400,0.9531374106433678,safe,0.166,3.014807589352131e-05,0.002996104070916772
1756845805,10,0,2914,2752,0.9444063143445436,safe,0.166,2.9526883736252785e-05,0.0029623170848935843
1756845806,10,0,3262,2910,0.8920907418761496,safe,0.166,3.749411553144455e-05,0.06122041097842157
1756845807,10,0,3534,3055,0.8644595359366157,safe,0.166,3.6760931834578514e-05,0.017440848983824253
1756845808,10,0,4804,4551,0.9473355537052456,safe,0.166,4.337797872722149e-05,0.27327943593263626
1756845809,10,0,2574,2350,0.912975912975913,safe,0.166,3.67539469152689e-05,0.0009959421586245298
1756845810,10,0,2570,2451,0.9536964980544748,safe,0.166,3.301701508462429e-05,0.20608328003436327
1756845811,10,0,2452,2324,0.9477977161500816,safe,0.166,3.809202462434769e-05,0.16701765987090766
1756845812,10,0,1340,1250,0.9328358208955224,safe,0.166,3.530899994075298e-05,0.0004310421645641327
1756845813,10,0,4000,4000,1.0,safe,0.166,3.8572121411561966e-05,0.001370422076433897
1756845814,10,0,4426,4404,0.9950293718933574,safe,0.166,3.571505658328533e-05,0.09961479413323104
1756845815,10,0,2618,2505,0.9568372803666921,safe,0.166,3.582006320357323e-05,0.054199239006266
1756845816,10,0,4028,4022,0.9985104270109235,safe,0.166,3.378698602318764e-05,0.0008059600368142128
1756845817,10,0,4742,4401,0.9280894137494728,safe,0.166,4.744110628962517e-05,0.0010613920167088509
1756845818,10,0,4926,4610,0.9358505887129517,safe,0.166,3.438093699514866e-05,0.07797405798919499
1756845819,10,0,460,440,0.9565217391304348,safe,0.166,2.8049806132912636e-05,0.002448437036946416
1756845820,10,0,2128,2086,0.9802631578947368,safe,0.166,3.27948946505785e-05,0.11193971987813711
1756845821,10,0,0,855,,,0.166,3.843684680759907e-05,0.0008188281208276749
1756845822,10,0,2667,2470,0.9261342332208474,safe,0.166,3.688596189022064e-05,0.036628761095926166
1756845823,10,0,4950,4652,0.9397979797979797,safe,0.166,3.6136945709586143e-05,0.02317156712524593
1756845824,10,0,2456,2420,0.9853420195439739,safe,0.166,4.4138869270682335e-05,0.3961840160191059
1756845825,10,0,508,423,0.8326771653543307,safe,0.166,3.500794991850853e-05,0.000633851857855916
1756845826,10,0,558,534,0.956989247311828,safe,0.166,3.1152041628956795e-05,0.01045029005035758
1756845827,10,0,0,2800,,,0.166,2.801092341542244e-05,0.0009298289660364389
1756845828,10,0,4444,4240,0.9540954095409541,safe,0.166,3.9048027247190475e-05,0.0007021219935268164
1756845829,10,0,2606,2350,0.9017651573292402,safe,0.166,3.06589063256979e-05,0.008427580120041966
1756845830,10,0,2754,2660,0.9658678286129266,safe,0.166,3.405311144888401e-05,0.033896438078954816
1756845831,10,0,896,755,0.8426339285714286,safe,0.166,3.5869888961315155e-05,0.0008356950711458921
1756845832,10,0,2948,2809,0.9528493894165536,safe,0.166,3.48980538547039e-05,0.006090461043640971
1756845833,10,0,4834,4615,0.9546959040132396,safe,0.166,5.5437907576560974e-05,0.08806492388248444
1756845834,10,0,4762,4531,0.9514909701805964,safe,0.166,4.28131315857172e-05,0.03288254397921264
1756845835,10,0,0,830,,,0.166,3.011315129697323e-05,0.0037363171577453613
1756845836,10,0,2420,2400,0.9917355371900827,safe,0.166,3.837398253381252e-05,0.003784953849390149
1756845837,10,0,2364,2331,0.9860406091370558,safe,0.166,4.033301956951618e-05,0.13399017788469791
1756845838,10,0,3144,2650,0.8428753180661578,safe,0.166,3.5007018595933914e-05,0.00414622388780117
1756845839,10,0,3216,3002,0.9334577114427861,safe,0.166,3.1461939215660095e-05,0.002033048076555133
