seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755018795,10,2956,2479,0.8386332882273342,safe,0.175,9.001999933389015e-05,0.2405466119998891,0.1698
1755018796,10,4550,3390,0.7450549450549451,safe,0.175,8.572799924877472e-05,0.0934764990015537,0.1698
1755018797,10,4220,3276,0.776303317535545,safe,0.175,8.430299931205809e-05,0.1881471099986811,0.1698
1755018798,10,2844,2442,0.8586497890295358,safe,0.175,8.294000144815072e-05,0.6443583800028136,0.1698
1755018799,10,2580,2301,0.891860465116279,safe,0.175,7.992799874045886e-05,0.3735455370006093,0.1698
1755018800,10,0,405,,,0.175,0.0001084469986381,0.003744761001144,0.1698
1755018801,10,852,636,0.7464788732394366,safe,0.175,7.137699867598712e-05,0.0053732480009784,0.1698
1755018802,10,0,2761,,,0.175,6.718000076944008e-05,0.3452401850008755,0.1698
1755018803,10,4174,3338,0.7997125059894585,safe,0.175,8.478700328851119e-05,0.0654017710003245,0.1698
1755018804,10,897,760,0.8472686733556298,safe,0.175,8.195700138458051e-05,0.0198047049998422,0.1698
1755018805,10,4550,3289,0.7228571428571429,safe,0.175,7.729299977654591e-05,0.7379806370008737,0.1698
1755018806,10,2538,2270,0.8944050433412135,safe,0.175,0.0001088169992726,0.5165897700026107,0.1698
1755018807,10,678,566,0.8348082595870207,safe,0.175,9.41300022532232e-05,0.0189317689982999,0.1698
1755018808,10,2676,2339,0.8740657698056801,safe,0.175,0.0001002889985102,0.3009410009981366,0.1698
1755018809,10,2754,2377,0.8631082062454611,safe,0.175,0.0001135790007538,0.6815757339973061,0.1698
1755018810,10,4620,3572,0.7731601731601732,safe,0.175,0.0035254619979241,0.0806775380006001,0.1698
1755018811,10,3096,2549,0.8233204134366925,safe,0.175,0.0001226480017066,0.2842039189999923,0.1698
1755018812,10,1202,873,0.7262895174708819,safe,0.175,0.0001045539975166,0.0233772130013676,0.1698
1755018813,10,3126,2563,0.8198976327575176,safe,0.175,0.0001196929988509,0.2274494410012266,0.1698
1755018814,10,3700,3351,0.9056756756756756,safe,0.175,0.0001114740007324,0.387430751001375,0.1698
