seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755024123,5,264,232,0.8787878787878788,safe,0.037,3.7270998291205615e-05,0.0023915070014481,0.0357
1755024124,5,2072,2036,0.9826254826254828,safe,0.037,4.04759994125925e-05,0.071405691000109,0.0357
1755024125,5,750,585,0.78,safe,0.037,4.303100286051631e-05,0.0004957940000167,0.0357
1755024126,5,2620,2310,0.8816793893129771,safe,0.037,3.990500044892542e-05,0.0092710469980374,0.0357
1755024127,5,820,610,0.7439024390243902,safe,0.037,3.8471000152640045e-05,0.0002243410017399,0.0357
1755024128,5,910,755,0.8296703296703297,safe,0.037,3.363600262673572e-05,0.0004084410029463,0.0357
1755024129,5,123,114,0.926829268292683,safe,0.037,3.712399848154746e-05,0.0004099799989489,0.0357
1755024130,5,2190,2105,0.9611872146118722,safe,0.037,4.5658001909032464e-05,0.0077346819998638,0.0357
1755024131,5,2542,2281,0.8973249409913454,safe,0.037,6.201799988048151e-05,0.0291100470021774,0.0357
1755024132,5,2460,2230,0.9065040650406504,safe,0.037,5.764100205851719e-05,0.0142186980010592,0.0357
1755024133,5,2502,2251,0.8996802557953637,safe,0.037,6.049399962648749e-05,0.0221943769975041,0.0357
1755024134,5,800,623,0.77875,safe,0.037,5.136199979460798e-05,0.0064436409993504,0.0357
1755024135,5,2306,2153,0.9336513443191674,safe,0.037,5.6017997849266976e-05,0.1558310809996328,0.0357
1755024136,5,2606,2303,0.8837298541826554,safe,0.037,6.053700053598732e-05,0.1399668820013175,0.0357
1755024137,5,662,531,0.8021148036253777,safe,0.037,5.2824998419964686e-05,0.0036541590015986,0.0357
1755024138,5,512,456,0.890625,safe,0.037,5.703900023945607e-05,0.0050772499998856,0.0357
1755024139,5,504,452,0.8968253968253969,safe,0.037,5.2112998673692346e-05,0.0021026750000601,0.0357
1755024140,5,2252,2126,0.94404973357016,safe,0.037,6.078400110709481e-05,0.0729200989990204,0.0357
1755024141,5,70,55,0.7857142857142857,safe,0.037,5.076999877928756e-05,0.0003799490004894,0.0357
1755024142,5,0,20,,,0.037,5.9942001826129854e-05,0.0001948649987753,0.0357
1755024143,5,624,512,0.8205128205128205,safe,0.037,5.338399932952598e-05,0.0044915859980392,0.0357
1755024144,5,730,565,0.773972602739726,safe,0.037,5.499799954122864e-05,0.00073968000288,0.0357
1755024145,5,742,581,0.7830188679245284,safe,0.037,5.976700049359352e-05,0.0029626790019392,0.0357
1755024146,5,850,725,0.8529411764705882,safe,0.037,6.00889979978092e-05,0.0006323669986159,0.0357
1755024147,5,2108,2054,0.97438330170778,safe,0.037,5.548799890675582e-05,0.4910514270013664,0.0357
1755024148,5,526,463,0.8802281368821293,safe,0.037,5.1311999413883314e-05,0.0068800279987044,0.0357
