seeds,num_tasks,per_jitter,max_reaction_time,final_e2e_max_write,R_write,exceed_write,false_percentage_write,final_e2e_max_read,R_read,exceed_read,false_percentage_read
1753194955,3,0.02,2223.5764212191025,2262.4000000000005,0.9828396487000981,safe,0.03,2262.4,0.9828396487000983,safe,0.01
1753194956,3,0.02,34.48406004648291,0,,,0.03,0,,,0.01
1753194957,3,0.02,440.04807023963394,448.44000000000005,0.9812863933628443,safe,0.03,448.43999999999994,0.9812863933628445,safe,0.01
1753194958,3,0.02,429.85685359042145,434.3000000000001,0.9897694073000721,safe,0.03,434.30000000000007,0.9897694073000722,safe,0.01
1753194959,3,0.02,445.3931605691105,454.50000000000006,0.9799629495469976,safe,0.03,454.5,0.9799629495469977,safe,0.01
1753194960,3,0.02,50.33817777535762,54.540000000000006,0.9229588884370666,safe,0.03,54.540000000000006,0.9229588884370666,safe,0.01
1753194961,3,0.02,1955.4754104134984,2125.04,0.9202064010152743,safe,0.03,2125.04,0.9202064010152743,safe,0.01
1753194962,3,0.02,148.0323986681219,161.6,0.916042070966101,safe,0.03,161.6,0.916042070966101,safe,0.01
1753194963,3,0.02,190.64270418709384,190.64478887791955,0.9999890650521424,safe,0.03,190.64478887791955,0.9999890650521424,safe,0.01
1753194964,3,0.02,2037.433700335212,2042.2200000000003,0.9976563251438199,safe,0.03,2042.2200000000003,0.9976563251438199,safe,0.01
1753194965,3,0.02,497.0640311785028,545.4,0.9113751946800565,safe,0.03,545.4,0.9113751946800565,safe,0.01
1753194966,3,0.02,140.1846555291163,151.5,0.9253112576179293,safe,0.03,151.5,0.9253112576179293,safe,0.01
1753194967,3,0.02,409.9174831577227,412.08,0.9947521917048212,safe,0.03,412.08,0.9947521917048212,safe,0.01
1753194968,3,0.02,218.23177213558847,222.20000000000002,0.9821411887290209,safe,0.03,222.20000000000002,0.9821411887290209,safe,0.01
1753194969,3,0.02,632.2337409619885,634.6796493873427,0.9961462315237061,safe,0.03,634.6796493873426,0.9961462315237063,safe,0.01
