seed,num_tasks,per_jitter,chain_type,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1751634422,5,0.05,max_period,4578.745299155571,4352.505802035812,0.9505891936899213,safe,0.2
1751634422,5,0.05,min_period,4578.745299155571,4352.505802035812,0.9505891936899213,safe,0.2
1751634422,5,0.1,asc,0,4398.008495681304,,,0.3
1751634422,5,0.1,desc,0,4398.008495681304,,,0.3
1751634422,5,0.1,max_period,0,4398.008495681304,,,0.3
1751634422,5,0.1,min_period,0,4398.008495681304,,,0.3
1751634422,5,0.2,asc,0,4500.394459922052,,,0.3
1751634422,5,0.2,desc,0,4500.394459922052,,,0.3
1751634422,5,0.2,max_period,0,4500.394459922052,,,0.3
1751634422,5,0.2,min_period,0,4500.394459922052,,,0.3
1751634422,5,0.3,asc,0,4586.511138376636,,,0.4
1751634422,5,0.3,desc,0,4586.511138376636,,,0.5
1751634422,5,0.3,max_period,0,4586.511138376636,,,0.4
1751634422,5,0.3,min_period,0,4586.511138376636,,,0.4
1751634422,5,0.4,asc,0,4586.592087508757,,,0.5
1751634422,5,0.4,desc,0,4586.592087508757,,,0.6
1751634422,5,0.4,max_period,0,4586.592087508757,,,0.5
1751634422,5,0.4,min_period,0,4586.592087508757,,,0.6
1751634422,5,0.5,asc,0,4751.871457102843,,,0.6
1751634422,5,0.5,desc,0,4751.871457102843,,,0.6
1751634422,5,0.5,max_period,0,4751.871457102843,,,0.6
1751634422,5,0.5,min_period,0,4751.871457102843,,,0.7
1751634422,8,0,asc,2214.0,2127.0387770377265,0.9607221215165883,safe,0.2
1751634422,8,0,desc,2169.717989571159,2127.0387770377265,0.9803296037832696,safe,0.1
1751634422,8,0,max_period,2214.0,2127.0387770377265,0.9607221215165883,safe,0.2
1751634422,8,0,min_period,2214.0,2127.0387770377265,0.9607221215165883,safe,0.2
1751634422,8,0.02,asc,2236.1400000000003,2178.915945182438,0.9744094489533024,safe,0.3
1751634422,8,0.02,desc,2190.817989571159,2178.915945182438,0.9945673057071022,safe,0.2
1751634422,8,0.02,max_period,2236.1400000000003,2178.915945182438,0.9744094489533024,safe,0.3
1751634422,8,0.02,min_period,2236.1400000000003,2178.915945182438,0.9744094489533024,safe,0.3
1751634422,8,0.05,asc,2269.3500000000004,2179.1046111080213,0.9602329350289823,safe,0.3
1751634422,8,0.05,desc,2222.467989571159,2179.1046111080213,0.980488637556708,safe,0.2
1751634422,8,0.05,max_period,2269.3500000000004,2179.1046111080213,0.9602329350289823,safe,0.3
1751634422,8,0.05,min_period,2269.3500000000004,2179.1046111080213,0.9602329350289823,safe,0.3
1751634422,8,0.1,asc,2324.7,2232.4511995553476,0.9603179763218255,safe,0.3
1751634422,8,0.1,desc,2275.217989571159,2232.4511995553476,0.9812032120826049,safe,0.3
1751634422,8,0.1,max_period,2324.7,2232.4511995553476,0.9603179763218255,safe,0.3
1751634422,8,0.1,min_period,2324.7000000000007,2232.4511995553476,0.9603179763218251,safe,0.3
1751634422,8,0.2,asc,2435.3999999999996,2368.5539475431433,0.9725523312569367,safe,0.4
1751634422,8,0.2,desc,0,2368.5539475431433,,,0.6
1751634422,8,0.2,max_period,2435.3999999999996,2368.5539475431433,0.9725523312569367,safe,0.4
1751634422,8,0.2,min_period,2435.3999999999996,2368.5539475431433,0.9725523312569367,safe,0.4
1751634422,8,0.3,asc,2546.1000000000004,2459.3670457575354,0.9659349773212109,safe,0.5
1751634422,8,0.3,desc,0,2459.3670457575354,,,0.8
1751634422,8,0.3,max_period,2546.1000000000004,2459.3670457575354,0.9659349773212109,safe,0.5
1751634422,8,0.3,min_period,2546.1,2459.3670457575354,0.965934977321211,safe,0.5
1751634422,8,0.4,asc,2656.8,2561.178597543214,0.9640088066633596,safe,0.8
1751634422,8,0.4,desc,0,2561.178597543214,,,0.9
1751634422,8,0.4,max_period,2656.8,2561.178597543214,0.9640088066633596,safe,0.6
1751634422,8,0.4,min_period,0,2561.178597543214,,,0.8
1751634422,8,0.5,asc,2767.5,2657.334131695243,0.9601930015158963,safe,0.9
1751634422,8,0.5,desc,0,2657.334131695243,,,1.0
1751634422,8,0.5,max_period,2767.5,2657.334131695243,0.9601930015158963,safe,0.7
1751634422,8,0.5,min_period,0,2657.334131695243,,,0.9
1751634422,10,0,asc,4916.921215950699,4789.269565510148,0.9740382965611807,safe,0.1
1751634422,10,0,desc,4916.921215950699,4789.269565510148,0.9740382965611807,safe,0.1
1751634422,10,0,max_period,4916.921215950699,4789.269565510148,0.9740382965611807,safe,0.1
1751634422,10,0,min_period,4916.921215950699,4789.269565510148,0.9740382965611807,safe,0.2
1751634422,10,0.02,asc,4938.081215950699,4913.629881605866,0.9950484138928596,safe,0.1
1751634422,10,0.02,desc,4938.081215950698,4913.629881605866,0.9950484138928598,safe,0.1
1751634422,10,0.02,max_period,4938.081215950699,4913.629881605866,0.9950484138928596,safe,0.1
1751634422,10,0.02,min_period,4938.081215950699,4913.629881605866,0.9950484138928596,safe,0.2
1751634422,10,0.05,asc,4969.821215950698,4943.838792173932,0.9947719600670191,safe,0.1
1751634422,10,0.05,desc,4969.821215950698,4943.838792173932,0.9947719600670191,safe,0.3
1751634422,10,0.05,max_period,4969.821215950698,4943.838792173932,0.9947719600670191,safe,0.2
1751634422,10,0.05,min_period,4969.821215950698,4943.838792173932,0.9947719600670191,safe,0.3
1751634422,10,0.1,asc,5022.721215950699,4953.801649966563,0.9862784409046499,safe,0.5
1751634422,10,0.1,desc,5022.721215950699,4953.801649966563,0.9862784409046499,safe,0.5
1751634422,10,0.1,max_period,5022.721215950699,4953.801649966563,0.9862784409046499,safe,0.4
1751634422,10,0.1,min_period,5022.721215950699,4953.801649966563,0.9862784409046499,safe,0.6
1751634422,10,0.2,asc,0,5697.965410685207,,,0.7
1751634422,10,0.2,desc,0,5697.965410685207,,,0.6
1751634422,10,0.2,max_period,0,5697.965410685207,,,0.5
1751634422,10,0.2,min_period,0,5697.965410685207,,,0.7
1751634422,10,0.3,asc,0,6015.175461689911,,,0.9
1751634422,10,0.3,desc,0,6015.175461689911,,,0.7
1751634422,10,0.3,max_period,0,6015.175461689911,,,0.7
1751634422,10,0.3,min_period,0,6015.175461689911,,,0.8
1751634422,10,0.4,asc,0,6160.826022343692,,,0.9
1751634422,10,0.4,desc,0,6160.826022343692,,,0.8
1751634422,10,0.4,max_period,0,6160.826022343692,,,0.7
1751634422,10,0.4,min_period,0,6160.826022343692,,,0.9
1751634422,10,0.5,asc,0,6196.905076549286,,,1.0
1751634422,10,0.5,desc,0,6196.905076549286,,,0.9
1751634422,10,0.5,max_period,0,6196.905076549286,,,0.9
1751634422,10,0.5,min_period,0,6196.905076549286,,,1.0
1751634423,3,0,asc,700.0,663.2523133956565,0.9475033048509379,safe,0.0
1751634423,3,0,desc,700.0,663.2523133956565,0.9475033048509379,safe,0.0
1751634423,3,0,max_period,700.0,663.2523133956565,0.9475033048509379,safe,0.0
1751634423,3,0,min_period,700.0,663.2523133956565,0.9475033048509379,safe,0.0
1751634423,3,0.02,asc,707.0,664.2045511958077,0.9394689550152866,safe,0.0
1751634423,3,0.02,desc,707.0,664.2045511958077,0.9394689550152866,safe,0.0
1751634423,3,0.02,max_period,707.0,664.2045511958077,0.9394689550152866,safe,0.0
1751634423,3,0.02,min_period,707.0,664.2045511958077,0.9394689550152866,safe,0.0
1751634423,3,0.05,asc,717.5,665.3373139168452,0.9272993922185996,safe,0.0
1751634423,3,0.05,desc,717.5,665.3373139168452,0.9272993922185996,safe,0.0
1751634423,3,0.05,max_period,717.5,665.3373139168452,0.9272993922185996,safe,0.0
1751634423,3,0.05,min_period,717.5,665.3373139168452,0.9272993922185996,safe,0.0
1751634423,3,0.1,asc,735.0,667.2704311345587,0.9078509267136854,safe,0.1
1751634423,3,0.1,desc,735.0,667.2704311345587,0.9078509267136854,safe,0.2
1751634423,3,0.1,max_period,735.0,667.2704311345587,0.9078509267136854,safe,0.2
1751634423,3,0.1,min_period,735.0,667.2704311345587,0.9078509267136854,safe,0.1
1751634423,3,0.2,asc,770.0,672.5637153425755,0.8734593705747734,safe,0.2
1751634423,3,0.2,desc,770.0,672.5637153425755,0.8734593705747734,safe,0.4
1751634423,3,0.2,max_period,770.0,672.5637153425755,0.8734593705747734,safe,0.4
1751634423,3,0.2,min_period,770.0,672.5637153425755,0.8734593705747734,safe,0.2
1751634423,3,0.3,asc,805.0,727.5779292530387,0.9038235146000482,safe,0.3
1751634423,3,0.3,desc,805.0,727.5779292530387,0.9038235146000482,safe,0.5
1751634423,3,0.3,max_period,805.0,727.5779292530387,0.9038235146000482,safe,0.5
1751634423,3,0.3,min_period,805.0,727.5779292530387,0.9038235146000482,safe,0.3
1751634423,3,0.4,asc,0,724.3237801832447,,,0.5
1751634423,3,0.4,desc,0,724.3237801832447,,,0.6
1751634423,3,0.4,max_period,0,724.3237801832447,,,0.6
1751634423,3,0.4,min_period,0,724.3237801832447,,,0.5
1751634423,3,0.5,asc,0,765.3766503997188,,,0.6
1751634423,3,0.5,desc,0,765.3766503997188,,,0.6
1751634423,3,0.5,max_period,0,765.3766503997188,,,0.6
1751634423,3,0.5,min_period,0,765.3766503997188,,,0.6
1751634423,5,0,asc,2560.0,2463.513917184815,0.9623101239003183,safe,0.1
1751634423,5,0,desc,2560.0,2463.513917184815,0.9623101239003183,safe,0.1
1751634423,5,0,max_period,2560.0,2463.513917184815,0.9623101239003183,safe,0.1
1751634423,5,0,min_period,2560.0,2463.513917184815,0.9623101239003183,safe,0.1
1751634423,5,0.02,asc,2585.6,2464.125885741436,0.9530189842749984,safe,0.1
1751634423,5,0.02,desc,2585.6,2464.125885741436,0.9530189842749984,safe,0.1
1751634423,5,0.02,max_period,2585.6,2464.125885741436,0.9530189842749984,safe,0.1
1751634423,5,0.02,min_period,2585.6,2464.125885741436,0.9530189842749984,safe,0.1
1751634423,5,0.05,asc,2624.0,2465.33241187199,0.9395321691585329,safe,0.2
1751634423,5,0.05,desc,2624.0,2465.33241187199,0.9395321691585329,safe,0.2
1751634423,5,0.05,max_period,2624.0,2465.33241187199,0.9395321691585329,safe,0.2
1751634423,5,0.05,min_period,2624.0,2465.33241187199,0.9395321691585329,safe,0.2
1751634423,5,0.1,asc,2688.0,2468.379274789535,0.918295861156821,safe,0.3
1751634423,5,0.1,desc,2688.0,2468.379274789535,0.918295861156821,safe,0.3
1751634423,5,0.1,max_period,2688.0,2468.379274789535,0.918295861156821,safe,0.3
1751634423,5,0.1,min_period,2688.0,2468.379274789535,0.918295861156821,safe,0.3
1751634423,5,0.2,asc,2816.0,2663.467731614248,0.9458337115107415,safe,0.3
1751634423,5,0.2,desc,2816.0,2663.467731614248,0.9458337115107415,safe,0.3
1751634423,5,0.2,max_period,2816.0,2663.467731614248,0.9458337115107415,safe,0.3
1751634423,5,0.2,min_period,2816.0,2663.467731614248,0.9458337115107415,safe,0.3
1751634423,5,0.3,asc,2944.0,2723.897984262556,0.9252370870457051,safe,0.4
1751634423,5,0.3,desc,2944.0,2723.897984262556,0.9252370870457051,safe,0.5
1751634423,5,0.3,max_period,2944.0,2723.897984262556,0.9252370870457051,safe,0.4
1751634423,5,0.3,min_period,2944.0,2723.897984262556,0.9252370870457051,safe,0.4
1751634423,5,0.4,asc,3072.0,2921.829717914108,0.9511164446334988,safe,0.5
1751634423,5,0.4,desc,3072.0,2921.829717914108,0.9511164446334988,safe,0.6
1751634423,5,0.4,max_period,3072.0,2921.829717914108,0.9511164446334988,safe,0.5
1751634423,5,0.4,min_period,3072.0,2921.829717914108,0.9511164446334988,safe,0.6
1751634423,5,0.5,asc,0,2899.4737738152035,,,0.6
1751634423,5,0.5,desc,3200.0,2899.4737738152035,0.9060855543172511,safe,0.6
1751634423,5,0.5,max_period,0,2899.4737738152035,,,0.6
1751634423,5,0.5,min_period,0,2899.4737738152035,,,0.7
1751634423,8,0,asc,4259.324861392963,3377.2565218124287,0.7929088838525306,safe,0.2
1751634423,8,0,desc,4225.604762623901,3377.2565218124287,0.7992362541061016,safe,0.1
1751634423,8,0,max_period,4259.324861392963,3377.2565218124287,0.7929088838525306,safe,0.2
1751634423,8,0,min_period,4259.324861392963,3377.2565218124287,0.7929088838525306,safe,0.2
1751634423,8,0.02,asc,4283.5248613929625,4188.0158452864,0.9777031722244973,safe,0.3
1751634423,8,0.02,desc,4247.8047626239,4188.0158452864,0.9859247492107974,safe,0.2
1751634423,8,0.02,max_period,4283.5248613929625,4188.0158452864,0.9777031722244973,safe,0.3
1751634423,8,0.02,min_period,4283.5248613929625,4188.0158452864,0.9777031722244973,safe,0.3
1751634423,8,0.05,asc,4319.824861392963,4197.464076109205,0.9716745957973163,safe,0.3
1751634423,8,0.05,desc,4281.104762623901,4197.464076109205,0.9804628265010193,safe,0.2
1751634423,8,0.05,max_period,4319.824861392963,4197.464076109205,0.9716745957973163,safe,0.3
1751634423,8,0.05,min_period,4319.824861392963,4197.464076109205,0.9716745957973163,safe,0.3
1751634423,8,0.1,asc,4380.324861392963,4286.405210175127,0.9785587475381976,safe,0.3
1751634423,8,0.1,desc,4336.604762623901,4286.405210175127,0.9884242269709633,safe,0.3
1751634423,8,0.1,max_period,4380.324861392963,4286.405210175127,0.9785587475381976,safe,0.3
1751634423,8,0.1,min_period,4380.324861392963,4286.405210175127,0.9785587475381976,safe,0.3
1751634423,8,0.2,asc,4501.324861392963,4293.4772946285175,0.953825246307567,safe,0.4
1751634423,8,0.2,desc,4447.604762623901,4293.4772946285175,0.9653459612035188,safe,0.6
