seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1755020092,8,5514,4458,0.808487486398259,safe,0.123,9.304896229878068e-05,0.03724357904866338
1755020093,8,2468,2234,0.9051863857374393,safe,0.123,9.456899715587497e-05,0.12249196297489107
1755020094,8,2584,2302,0.8908668730650154,safe,0.123,9.291298920288682e-05,0.0764409740222618
1755020095,8,4940,4480,0.9068825910931174,safe,0.123,9.062397293746471e-05,0.001656886946875602
1755020096,8,904,672,0.7433628318584071,safe,0.123,8.30459757708013e-05,0.0030770350131206214
1755020097,8,4504,3260,0.7238010657193605,safe,0.123,8.956104284152389e-05,0.10149896994698793
1755020098,8,2644,2322,0.8782148260211801,safe,0.123,7.920595817267895e-05,0.3211826690239832
1755020099,8,528,464,0.8787878787878788,safe,0.123,7.776799611747265e-05,0.016865370969753712
1755020100,8,0,760,,,0.123,0.0001114180195145309,0.00028443802148103714
1755020101,8,0,645,,,0.123,9.327498264610767e-05,0.0012062779860571027
1755020102,8,704,589,0.8366477272727273,safe,0.123,8.14899685792625e-05,0.02149727300275117
1755020103,8,4500,3511,0.7802222222222223,safe,0.123,9.50960093177855e-05,0.10364429303444922
1755020104,8,2800,2410,0.8607142857142858,safe,0.123,8.107494795694947e-05,0.03463736001867801
1755020105,8,0,916,,,0.123,8.657597936689854e-05,0.005971199017949402
1755020106,8,0,431,,,0.123,6.909895455464721e-05,0.0020466080168262124
1755020107,8,2520,2261,0.8972222222222223,safe,0.123,8.836999768391252e-05,0.6294871660065837
1755020108,8,2440,2221,0.9102459016393443,safe,0.123,8.038000669330359e-05,0.3627779009984806
1755020109,8,2160,2085,0.9652777777777778,safe,0.123,7.820496102795005e-05,0.6730788020067848
1755020110,8,2622,2321,0.8852021357742181,safe,0.123,8.241098839789629e-05,0.09179319394752383
1755020111,8,3090,2545,0.8236245954692557,safe,0.123,8.808803977444768e-05,0.013035457988735288
1755020112,8,0,410,,,0.123,7.346703205257654e-05,0.008708062989171594
1755020113,8,534,370,0.6928838951310862,safe,0.123,0.0001118200016207993,0.01589650200912729
1755020114,8,2310,2155,0.9329004329004329,safe,0.123,8.23219888843596e-05,0.04016444296576083
1755020115,8,428,334,0.780373831775701,safe,0.123,0.004095620010048151,0.0015429300256073475
1755020116,8,3690,3345,0.9065040650406504,safe,0.123,8.455303031951189e-05,0.016234977985732257
1755020117,8,0,385,,,0.123,8.377199992537498e-05,0.0035977019579149783
1755020118,8,0,352,,,0.123,6.665196269750595e-05,0.0037273609777912498
1755020119,8,6400,5301,0.82828125,safe,0.123,8.700299076735973e-05,0.025631674972828478
1755020120,8,2294,2148,0.9363557105492589,safe,0.123,8.649798110127449e-05,0.06789740099338815
1755020121,8,162,137,0.845679012345679,safe,0.123,7.800903404131532e-05,0.0017186439945362508
1755020122,8,5542,4286,0.7733670155178636,safe,0.123,8.61029839143157e-05,0.09818591200746596
1755020123,8,2666,2333,0.8750937734433608,safe,0.123,8.308596443384886e-05,0.29224861302645877
1755020124,8,6440,4227,0.6563664596273292,safe,0.123,8.226296631619334e-05,0.42290267802309245
1755020125,8,2834,2418,0.8532110091743119,safe,0.123,8.85479967109859e-05,0.05191530101001263
1755020126,8,2758,2390,0.8665699782451052,safe,0.123,8.584401803091168e-05,0.10562172200297937
1755020127,8,784,602,0.7678571428571429,safe,0.123,7.496395846828818e-05,0.0037197039928287268
1755020128,8,2628,2314,0.880517503805175,safe,0.123,9.021302685141563e-05,0.6669760689837858
1755020129,8,190,155,0.8157894736842105,safe,0.123,8.175603579729795e-05,0.004548027005512267
1755020130,8,4440,3440,0.7747747747747747,safe,0.123,8.91379895620048e-05,0.00877499399939552
1755020131,8,0,461,,,0.123,7.631594780832529e-05,0.003943659015931189
1755020132,8,2696,2349,0.8712908011869436,safe,0.123,8.985900785773993e-05,0.38786357903154567
1755020133,8,780,600,0.7692307692307693,safe,0.123,8.600298315286636e-05,0.0013703209697268903
1755020134,8,2478,2240,0.903954802259887,safe,0.123,9.123899508267641e-05,0.5608552600024268
1755020135,8,674,537,0.7967359050445104,safe,0.123,7.92520004324615e-05,0.015850252006202936
1755020136,8,2334,2168,0.9288774635818338,safe,0.123,0.00013872800627723336,0.06818297103745863
1755020137,8,570,397,0.6964912280701754,safe,0.123,9.183597285300493e-05,0.00405132700689137
1755020138,8,606,513,0.8465346534653465,safe,0.123,8.136796532198787e-05,0.010877872991841286
1755020139,8,0,380,,,0.123,0.00010867702076211572,0.0016446670051664114
1755020140,8,2222,2115,0.9518451845184518,safe,0.123,7.17669609002769e-05,0.609760630002711
1755020141,8,1022,716,0.700587084148728,safe,0.123,0.0002259699977003038,0.010075845988467336
1755020142,8,3010,2515,0.8355481727574751,safe,0.123,8.483999408781528e-05,0.01378380396636203
1755020143,8,3528,3264,0.9251700680272109,safe,0.123,8.579104905948043e-05,0.4715023000026122
1755020144,8,0,689,,,0.123,6.685603875666857e-05,0.016969370015431195
1755020145,8,2368,2194,0.9265202702702703,safe,0.123,7.927598198875785e-05,0.8949559520115145
1755020146,8,682,642,0.9413489736070382,safe,0.123,8.200900629162788e-05,0.01372371899196878
1755020147,8,1320,918,0.6954545454545454,safe,0.123,7.250596536323428e-05,0.0070635880110785365
1755020148,8,5010,4072,0.8127744510978044,safe,0.123,0.007092626998201013,0.17321466596331447
1755020149,8,2820,2411,0.8549645390070922,safe,0.123,8.826999692246318e-05,1.723806549969595
1755020150,8,0,1025,,,0.123,0.00011807400733232498,0.0010074659949168563
1755020151,8,642,522,0.8130841121495327,safe,0.123,7.952901069074869e-05,0.04287820297759026
1755020152,8,2818,2460,0.872959545777147,safe,0.123,7.976096821948886e-05,0.22494069300591946
1755020153,8,1002,711,0.7095808383233533,safe,0.123,6.5457948949188e-05,0.0037012799875810742
1755020154,8,2476,2240,0.9046849757673667,safe,0.123,6.681005470454693e-05,0.09885781799675897
1755020155,8,512,456,0.890625,safe,0.123,6.566400406882167e-05,0.010459342040121555
1755020156,8,3466,3243,0.9356607039815349,safe,0.123,7.017998723313212e-05,0.1439187930081971
1755020157,8,2530,2270,0.8972332015810277,safe,0.123,7.892597932368517e-05,0.026121073984541
1755020158,8,3018,2510,0.8316766070245195,safe,0.123,7.887301035225391e-05,0.2408547200029716
1755020159,8,4540,3320,0.7312775330396476,safe,0.123,8.150795474648476e-05,0.002002564026042819
1755020160,8,2612,2307,0.8832312404287902,safe,0.123,7.848499808460474e-05,0.7100029889843427
1755020161,8,2558,2290,0.8952306489444879,safe,0.123,9.315402712672949e-05,0.6426476300111972
1755020162,8,2658,2330,0.8765989465763732,safe,0.123,8.847197750583291e-05,0.5313379049766809
1755020163,8,4000,3282,0.8205,safe,0.123,8.165399776771665e-05,0.2972949299728498
1755020164,8,3054,3027,0.9911591355599214,safe,0.123,8.205801714211702e-05,0.7971078099799342
1755020165,8,2466,2234,0.9059205190592052,safe,0.123,6.822805153205991e-05,0.22408348799217492
1755020166,8,3300,3150,0.9545454545454546,safe,0.123,9.924499318003654e-05,0.02697117201751098
1755020167,8,788,604,0.766497461928934,safe,0.123,9.076000424101949e-05,0.004735516034998
1755020168,8,0,368,,,0.123,8.0712023191154e-05,0.0012589929974637926
1755020169,8,2588,2314,0.8941267387944358,safe,0.123,8.978997357189655e-05,0.09727434400701895
1755020170,8,3452,3226,0.9345307068366164,safe,0.123,8.63549648784101e-05,0.7902385119814426
1755020171,8,2598,2310,0.8891454965357968,safe,0.123,8.29659984447062e-05,0.10971984500065446
1755020172,8,4502,3267,0.7256774766770324,safe,0.123,8.915201760828495e-05,0.35070420196279883
1755020173,8,2710,2355,0.8690036900369004,safe,0.123,7.363100303336978e-05,0.015060574980452657
1755020174,8,1040,744,0.7153846153846154,safe,0.123,6.560195470228791e-05,0.018577280978206545
1755020175,8,4730,3465,0.7325581395348837,safe,0.123,0.00010149902664124966,0.021583220979664475
1755020176,8,0,251,,,0.123,7.931404979899526e-05,0.008016808016691357
1755020177,8,3236,2619,0.8093325092707045,safe,0.123,8.052797056734562e-05,0.4499456200283021
1755020178,8,2882,2441,0.8469812630117973,safe,0.123,8.851598249748349e-05,0.19778956600930542
1755020179,8,2190,2105,0.9611872146118722,safe,0.123,9.063101606443524e-05,1.0914705549948849
1755020180,8,2624,2312,0.8810975609756098,safe,0.123,8.103495929390192e-05,0.7066708860220388
1755020181,8,1132,771,0.681095406360424,safe,0.123,7.598201045766473e-05,0.0073367999866604805
1755020182,8,1020,763,0.7480392156862745,safe,0.123,9.144097566604614e-05,0.010393836011644453
1755020183,8,189,175,0.9259259259259259,safe,0.123,7.908802945166826e-05,0.0020146690076217055
1755020184,8,1038,730,0.7032755298651252,safe,0.123,8.059199899435043e-05,0.008185548009350896
1755020185,8,2428,2216,0.9126853377265239,safe,0.123,8.764199446886778e-05,0.20367721404181793
1755020186,8,820,661,0.8060975609756098,safe,0.123,8.8449043687433e-05,0.012465424020774662
1755020187,8,0,2472,,,0.123,0.00012426800094544888,0.06589144899044186
1755020188,8,536,419,0.7817164179104478,safe,0.123,8.637900464236736e-05,0.005470722971949726
1755020189,8,4264,3138,0.7359287054409006,safe,0.123,8.958397665992379e-05,0.16677854396402836
1755020190,8,2474,2298,0.9288601455133387,safe,0.123,8.518900722265244e-05,0.10042845999123529
1755020191,8,792,606,0.7651515151515151,safe,0.123,7.622898556292057e-05,0.0219087740406394
1755020192,8,208,188,0.9038461538461539,safe,0.123,8.366495603695512e-05,0.007162180030718446
1755020193,8,3032,2516,0.8298153034300791,safe,0.123,8.731498382985592e-05,0.18795471999328583
1755020194,8,884,702,0.7941176470588235,safe,0.123,8.737400639802217e-05,0.0029239400173537433
1755020195,8,0,2538,,,0.123,6.83680409565568e-05,0.09942276799120009
1755020196,8,2420,2220,0.9173553719008265,safe,0.123,9.19689773581922e-05,0.06226120196515694
1755020197,8,2864,2433,0.8495111731843575,safe,0.123,9.932904504239559e-05,0.7234574489993975
1755020198,8,684,568,0.8304093567251462,safe,0.123,7.73840001784265e-05,0.007233303040266037
1755020199,8,1034,720,0.6963249516441006,safe,0.123,7.66029697842896e-05,0.004597686987835914
1755020200,8,0,886,,,0.123,7.325998740270734e-05,0.004577929968945682
1755020201,8,2962,2491,0.8409858203916273,safe,0.123,6.837199907749891e-05,0.04688701097620651
1755020202,8,2690,2345,0.8717472118959108,safe,0.123,7.198797538876534e-05,0.3634465879877098
1755020203,8,300,251,0.8366666666666667,safe,0.123,5.90659910812974e-05,0.003207055968232453
1755020204,8,3084,3042,0.9863813229571985,safe,0.123,6.427400512620807e-05,0.4346890020533465
1755020205,8,3030,2515,0.83003300330033,safe,0.123,6.887002382427454e-05,0.008062330016400665
1755020206,8,3170,3095,0.9763406940063092,safe,0.123,6.797199603170156e-05,0.40327794500626624
1755020207,8,748,574,0.767379679144385,safe,0.123,6.12309668213129e-05,0.003444197995122522
1755020208,8,2286,2143,0.9374453193350831,safe,0.123,7.006496889516711e-05,0.17725130100734532
1755020209,8,422,321,0.7606635071090048,safe,0.123,8.354504825547338e-05,0.0026337550370953977
1755020210,8,2744,2372,0.8644314868804664,safe,0.123,8.622300811111927e-05,0.06894153001485392
1755020211,8,464,437,0.9418103448275862,safe,0.123,7.344299228861928e-05,0.017319801962003112
1755020212,8,2310,2165,0.9372294372294372,safe,0.123,7.795600686222315e-05,0.024777101003564894
1755020213,8,4150,3388,0.8163855421686746,safe,0.123,8.487998275086284e-05,0.041014967020601034
1755020214,8,4444,3448,0.7758775877587759,safe,0.123,7.844500942155719e-05,0.04350294702453539
1755020215,8,800,610,0.7625,safe,0.123,7.436296436935663e-05,0.0014226349885575473
1755020216,8,0,928,,,0.123,0.0001063939998857677,0.0028910800465382636
1755020217,8,2984,2502,0.8384718498659517,safe,0.123,8.135801181197166e-05,0.028127687983214855
1755020218,8,4130,3116,0.7544794188861985,safe,0.123,8.304801303893328e-05,0.11750337696867064
