seeds,num_tasks,per_jitter,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1756835681,10,0,1194,847,0.7093802345058626,safe,0.1751,3.133993595838547e-05,0.0047326290514320135
1756835682,10,0,1136,843,0.7420774647887324,safe,0.1751,3.748689778149128e-05,0.004404552048072219
1756835683,10,0,5080,3945,0.7765748031496063,safe,0.1751,3.4451019018888474e-05,0.003556631039828062
1756835684,10,0,1184,902,0.7618243243243243,safe,0.1751,3.339489921927452e-05,0.001111882971599698
1756835685,10,0,0,884,,,0.1751,1.7049023881554604e-05,0.0017352630384266376
1756835686,10,0,2682,2342,0.8732289336316182,safe,0.1751,4.5594992116093636e-05,0.059770421124994755
1756835687,10,0,0,874,,,0.1751,3.6139972507953644e-05,0.003030541120097041
1756835688,10,0,4512,3656,0.8102836879432624,safe,0.1751,3.613904118537903e-05,0.16285052499733865
1756835689,10,0,0,2431,,,0.1751,1.9014813005924225e-05,0.10499501996673644
1756835690,10,0,2814,2417,0.8589196872778962,safe,0.1751,3.767595626413822e-05,0.1374549421016127
1756835691,10,0,3136,2569,0.8191964285714286,safe,0.1751,4.4348882511258125e-05,0.07800920284353197
1756835692,10,0,810,625,0.7716049382716049,safe,0.1751,3.505381755530834e-05,0.0007328139618039131
1756835693,10,0,3558,3280,0.9218662169758292,safe,0.1751,3.774184733629227e-05,0.15698044002056122
1756835694,10,0,4314,3160,0.7324988409828466,safe,0.1751,3.2621901482343674e-05,0.14700296008959413
1756835695,10,0,4200,3131,0.7454761904761905,safe,0.1751,3.147497773170471e-05,0.10377181507647038
1756835696,10,0,5190,4125,0.7947976878612717,safe,0.1751,3.549410030245781e-05,0.10197770595550537
1756835697,10,0,0,339,,,0.1751,2.4762935936450958e-05,0.0012462809681892395
1756835698,10,0,2860,2492,0.8713286713286713,safe,0.1751,4.8374058678746223e-05,0.17921231710352004
1756835699,10,0,2682,2342,0.8732289336316182,safe,0.1751,3.4008175134658813e-05,0.07686858088709414
1756835700,10,0,6040,4290,0.7102649006622517,safe,0.1751,3.185588866472244e-05,0.14862138405442238
1756835701,10,0,2728,2364,0.8665689149560117,safe,0.1751,4.346901550889015e-05,0.13558269711211324
1756835702,10,0,2436,2219,0.9109195402298851,safe,0.1751,2.8254929929971695e-05,0.09421789413318038
1756835703,10,0,4048,3524,0.8705533596837944,safe,0.1751,3.892695531249046e-05,0.049105945974588394
1756835704,10,0,2372,2197,0.9262225969645869,safe,0.1751,4.0357932448387146e-05,0.1626121609006077
1756835705,10,0,4644,3343,0.7198535745047373,safe,0.1751,3.5318080335855484e-05,0.0655995320994407
1756835706,10,0,4260,3281,0.7701877934272301,safe,0.1751,4.5874156057834625e-05,0.06879159202799201
1756835707,10,0,5044,3530,0.6998413957176843,safe,0.1751,3.481120802462101e-05,0.14865007996559143
1756835708,10,0,2612,2316,0.886676875957121,safe,0.1751,3.3674994483590126e-05,0.07491248496808112
1756835709,10,0,3072,2636,0.8580729166666666,safe,0.1751,4.3413834646344185e-05,0.045594182098284364
1756835710,10,0,4814,3448,0.7162442874948068,safe,0.1751,3.9275968447327614e-05,0.1779864658601582
1756835711,10,0,2756,2379,0.8632075471698113,safe,0.1751,4.453584551811218e-05,0.07803002907894552
1756835712,10,0,6090,4446,0.7300492610837438,safe,0.1751,5.195010453462601e-05,0.048865708988159895
1756835713,10,0,2436,2229,0.9150246305418719,safe,0.1751,3.672996535897255e-05,0.08824583003297448
1756835714,10,0,4076,3539,0.8682531894013739,safe,0.1751,3.634789027273655e-05,0.08068935596384108
1756835715,10,0,0,1166,,,0.1751,2.759508788585663e-05,0.0024201669730246067
1756835716,10,0,243,185,0.7613168724279835,safe,0.1751,3.9902981370687485e-05,0.0008889709133654833
1756835717,10,0,0,2431,,,0.1751,4.813005216419697e-05,0.11653200490400195
1756835718,10,0,898,650,0.7238307349665924,safe,0.1751,2.7888920158147812e-05,0.005598388845100999
1756835719,10,0,0,376,,,0.1751,2.6619061827659607e-05,0.0009841471910476685
1756835720,10,0,2794,2407,0.8614889047959914,safe,0.1751,3.235694020986557e-05,0.11707356502301991
1756835721,10,0,0,2351,,,0.1751,1.7839018255472183e-05,0.035292830085381866
1756835722,10,0,0,674,,,0.1751,3.176787868142128e-05,0.0017215190455317497
1756835723,10,0,3340,2870,0.8592814371257484,safe,0.1751,3.427709452807903e-05,0.006846362957730889
1756835724,10,0,0,341,,,0.1751,2.2425083443522453e-05,0.001549404114484787
1756835725,10,0,3700,3351,0.9056756756756756,safe,0.1751,3.471388481557369e-05,0.049885978223755956
1756835726,10,0,4643,3623,0.7803144518630196,safe,0.1751,3.923499025404453e-05,0.173934122081846
1756835727,10,0,3138,2570,0.8189929891650733,safe,0.1751,3.265310078859329e-05,0.1440148730762303
1756835728,10,0,0,202,,,0.1751,2.5952933356165886e-05,0.0007402619812637568
1756835729,10,0,5800,4462,0.7693103448275862,safe,0.1751,3.089802339673042e-05,0.014612824888899922
1756835730,10,0,3828,3414,0.8918495297805643,safe,0.1751,6.141490302979946e-05,0.04345394601114094
1756835731,10,0,960,742,0.7729166666666667,safe,0.1751,2.9759947210550308e-05,0.0013277609832584858
1756835732,10,0,3504,3252,0.928082191780822,safe,0.1751,3.319489769637585e-05,0.14233064278960228
1756835733,10,0,4306,3425,0.795401764979099,safe,0.1751,3.8188882172107697e-05,0.09285931894555688
1756835734,10,0,2502,2312,0.9240607513988809,safe,0.1751,4.35530673712492e-05,0.0676101038698107
1756835735,10,0,0,441,,,0.1751,3.194413147866726e-05,0.0011708538513630629
1756835736,10,0,4760,3491,0.7334033613445378,safe,0.1751,4.156399518251419e-05,0.03068169392645359
1756835737,10,0,0,765,,,0.1751,2.6171095669269562e-05,0.0045261678751558065
1756835738,10,0,4260,3150,0.7394366197183099,safe,0.1751,3.7937890738248825e-05,0.019792677834630013
1756835739,10,0,5502,4652,0.8455107233733188,safe,0.1751,4.118494689464569e-05,0.10288304300047457
1756835740,10,0,2596,2329,0.8971494607087828,safe,0.1751,3.5742996260523796e-05,0.0789977191016078
1756835741,10,0,934,668,0.715203426124197,safe,0.1751,2.9484974220395088e-05,0.0015227519907057285
1756835742,10,0,4314,3509,0.8133982382939268,safe,0.1751,3.767106682062149e-05,0.08251758711412549
1756835743,10,0,3546,2783,0.7848279751833052,safe,0.1751,5.7323137298226357e-05,0.061550969956442714
1756835744,10,0,3270,2695,0.8241590214067278,safe,0.1751,3.321003168821335e-05,0.008727933978661895
1756835745,10,0,3856,3428,0.8890041493775933,safe,0.1751,3.399001434445381e-05,0.06844880012795329
1756835746,10,0,3210,2615,0.8146417445482866,safe,0.1751,3.141281194984913e-05,0.005053499015048146
1756835747,10,0,3068,2534,0.8259452411994785,safe,0.1751,3.3349962905049324e-05,0.14409575308673084
1756835748,10,0,6704,4555,0.679445107398568,safe,0.1751,3.568618558347225e-05,0.08637358294799924
1756835749,10,0,2560,2280,0.890625,safe,0.1751,3.330991603434086e-05,0.010533482069149613
1756835750,10,0,5722,4511,0.7883607130373995,safe,0.1751,5.035381764173508e-05,0.023434174014255404
1756835751,10,0,3136,2569,0.8191964285714286,safe,0.1751,3.580213524401188e-05,0.07406432298012078
1756835752,10,0,2402,2212,0.9208992506244796,safe,0.1751,3.8360944017767906e-05,0.06290619098581374
1756835753,10,0,10020,7360,0.7345309381237525,safe,0.1751,5.680299364030361e-05,0.0011892730835825205
1756835754,10,0,3042,2521,0.8287310979618672,safe,0.1751,3.073294647037983e-05,0.0595014039427042
1756835755,10,0,588,494,0.8401360544217688,safe,0.1751,2.936716191470623e-05,0.008930010022595525
1756835756,10,0,2620,2325,0.8874045801526718,safe,0.1751,3.793509677052498e-05,0.12503843801096082
1756835757,10,0,2748,2374,0.863901018922853,safe,0.1751,3.439304418861866e-05,0.24775252817198634
1756835758,10,0,4852,3546,0.7308326463314098,safe,0.1751,3.301585093140602e-05,0.04359677108004689
1756835759,10,0,0,372,,,0.1751,2.573290839791298e-05,0.0005928690079599619
1756835760,10,0,4184,3106,0.7423518164435946,safe,0.1751,3.476208075881004e-05,0.06630311603657901
1756835761,10,0,750,575,0.7666666666666667,safe,0.1751,3.137299790978432e-05,0.0081052309833467
1756835762,10,0,6002,4137,0.6892702432522493,safe,0.1751,5.087489262223244e-05,0.15318128396756947
1756835763,10,0,418,320,0.7655502392344498,safe,0.1751,3.0701979994773865e-05,0.0007475640159100294
