num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage,ratios
3,0.4,0,3514.5227280634394,,1.0,1.0
3,0.4,0,3417.2685527404615,,1.0,1.0
3,0.4,0,3608.4915476740193,,1.0,1.0
3,0.4,0,4468.630365804835,,1.0,1.0
3,0.4,0,3723.857863617371,,1.0,1.0
3,0.4,0,5854.196552856467,,1.0,1.0
3,0.5,0,1292.0102059250141,,1.0,1.0
3,0.5,0,4201.534637986618,,1.0,1.0
3,0.5,0,5885.115419277129,,1.0,1.0
3,0.5,0,1305.1460518045903,,1.0,1.0
3,0.5,0,3620.122164004028,,1.0,1.0
3,0.5,0,3479.302662238079,,1.0,1.0
3,0.5,0,3743.6803960057537,,1.0,1.0
3,0.5,0,4595.460090562854,,1.0,1.0
3,0.5,0,3893.9670230920397,,1.0,1.0
3,0.5,0,5841.610815322039,,1.0,1.0
5,0,8413.87204146351,7257.495739670901,0.86256312241332,0.0,1.0
5,0,9455.392005086136,7709.664545468728,0.8153722808447956,0.0,1.0
5,0,7031.9207254199455,5470.652335648682,0.7779741196274614,0.0,1.0
5,0,5414.564108220442,4685.6999424723035,0.8653882101716055,0.0,1.0
5,0,9122.556224341395,8164.490379393244,0.8949783567908546,0.0,1.0
5,0,8775.004455042605,7882.735136665652,0.8983169384188512,0.0,1.0
5,0,9204.675592771571,7858.112285894384,0.8537087707974582,0.0,1.0
5,0,9869.697819571744,8220.39298030175,0.8328920632200715,0.0,1.0
5,0,3609.706045953368,2412.803310703902,0.6684209960555529,0.0,1.0
5,0,9082.235334178644,8115.036107879623,0.8935064782279736,0.0,1.0
5,0.02,0,7979.585944911313,,0.8,1.0
5,0.02,0,9048.626531782962,,0.8,1.0
5,0.02,0,6685.27597015072,,0.8,1.0
5,0.02,5468.709749302647,5212.843651773956,0.9532127120914914,0.8,1.0
5,0.02,0,8992.378845026391,,0.8,1.0
5,0.02,0,8461.203218453644,,0.8,1.0
5,0.02,0,8918.938574815835,,0.8,1.0
5,0.02,0,9637.887864932902,,0.8,1.0
5,0.02,3645.803106412902,3380.393349424906,0.9272012916657114,0.8,1.0
5,0.02,0,8775.742977870234,,0.8,1.0
5,0.05,0,8269.97876532541,,0.9,1.0
5,0.05,0,9022.168162962416,,0.9,1.0
5,0.05,0,6685.803918221183,,0.9,1.0
5,0.05,0,5245.736650245404,,0.9,1.0
5,0.05,0,9084.98779583534,,0.9,1.0
5,0.05,0,8660.599187570093,,0.9,1.0
5,0.05,0,8918.27109799656,,0.9,1.0
5,0.05,0,9673.310414280411,,0.9,1.0
5,0.05,3699.948697102202,3385.3020079612033,0.9149591751400689,0.9,1.0
5,0.05,0,8746.718476655702,,0.9,1.0
5,0.1,0,7990.725024638575,,0.9,1.0
5,0.1,0,9274.80123075985,,0.9,1.0
5,0.1,0,6683.495977514896,,0.9,1.0
5,0.1,0,5103.398177998812,,0.9,1.0
5,0.1,0,8921.338244114837,,0.9,1.0
5,0.1,0,8305.301432366905,,0.9,1.0
5,0.1,0,8878.727177317222,,0.9,1.0
5,0.1,0,9611.835240868986,,0.9,1.0
5,0.1,3790.1913482510363,3434.4813108349026,0.9061498471362734,0.9,1.0
5,0.1,0,8611.795959404595,,0.9,1.0
5,0.2,0,8076.160068193299,,1.0,1.0
5,0.2,0,9184.915657772968,,1.0,1.0
5,0.2,0,6968.144416482235,,1.0,1.0
5,0.2,0,5362.419238228622,,1.0,1.0
5,0.2,0,9148.80607984053,,1.0,1.0
5,0.2,0,8678.247085792966,,1.0,1.0
5,0.2,0,8993.379055422349,,1.0,1.0
5,0.2,0,9732.401799952513,,1.0,1.0
5,0.2,0,3545.8892364552194,,1.0,1.0
5,0.2,0,8903.164811611494,,1.0,1.0
5,0.3,0,8496.209394124795,,1.0,1.0
5,0.3,0,9504.185346208362,,1.0,1.0
5,0.3,0,7169.941050752608,,1.0,1.0
5,0.3,0,5260.938602089302,,1.0,1.0
5,0.3,0,9215.6943502382,,1.0,1.0
5,0.3,0,8485.693200302296,,1.0,1.0
5,0.3,0,9265.98247026029,,1.0,1.0
5,0.3,0,9799.529020592938,,1.0,1.0
5,0.3,0,3534.7949917885053,,1.0,1.0
5,0.3,0,8743.905468694238,,1.0,1.0
5,0.4,0,8812.77576274229,,1.0,1.0
5,0.4,0,9601.331228279823,,1.0,1.0
5,0.4,0,6824.875565108046,,1.0,1.0
5,0.4,0,5426.45690128812,,1.0,1.0
5,0.4,0,9634.43385524164,,1.0,1.0
5,0.4,0,8906.286902503633,,1.0,1.0
5,0.4,0,9497.623434039586,,1.0,1.0
5,0.4,0,9750.177414063848,,1.0,1.0
5,0.4,0,3679.3724732737846,,1.0,1.0
