seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,ratios
108,8,0.3,0,11482.535301934799,,,1.0,1.0
109,8,0.3,0,14141.836448643164,,,1.0,1.0
100,8,0.4,0,11993.67080770543,,,1.0,1.0
101,8,0.4,0,14686.541662849542,,,1.0,1.0
102,8,0.4,0,13926.794670188352,,,1.0,1.0
103,8,0.4,0,11005.237325912956,,,1.0,1.0
104,8,0.4,0,12199.192110379947,,,1.0,1.0
105,8,0.4,0,13971.575988797511,,,1.0,1.0
106,8,0.4,0,13894.981878783987,,,1.0,1.0
107,8,0.4,0,15386.559841429807,,,1.0,1.0
108,8,0.4,0,11494.682787891654,,,1.0,1.0
109,8,0.4,0,14191.874752652173,,,1.0,1.0
100,8,0.5,0,12252.284982973999,,,1.0,1.0
101,8,0.5,0,15096.248481790126,,,1.0,1.0
102,8,0.5,0,14463.766816607636,,,1.0,1.0
103,8,0.5,0,11725.747199123056,,,1.0,1.0
104,8,0.5,0,12522.445017520375,,,1.0,1.0
105,8,0.5,0,14537.335106709546,,,1.0,1.0
106,8,0.5,0,14238.707095656264,,,1.0,1.0
107,8,0.5,0,15814.26377799757,,,1.0,1.0
108,8,0.5,0,11958.598362730629,,,1.0,1.0
109,8,0.5,0,14528.634219413721,,,1.0,1.0
100,10,0,19553.18915409473,15286.647726168729,0.7817981816519929,safe,0.0,1.0
101,10,0,17207.50817054291,14003.47376786488,0.8138002102964021,safe,0.0,1.0
102,10,0,17709.584971051925,13100.242012721863,0.7397260881119184,safe,0.0,1.0
103,10,0,18665.26267786721,15843.362402396457,0.8488153998059246,safe,0.0,1.0
104,10,0,17203.277935734353,13119.959018090733,0.7626429722929825,safe,0.0,1.0
105,10,0,18637.497423398974,15205.238510015068,0.8158412132588799,safe,0.0,1.0
106,10,0,18492.18181754226,14521.220456527488,0.7852626910012428,safe,0.0,1.0
107,10,0,18877.524907581635,14312.12302402639,0.758156754876182,safe,0.0,1.0
108,10,0,19365.28572291343,14427.538493243765,0.7450206880331636,safe,0.0,1.0
109,10,0,18619.93551557321,15047.063616134345,0.8081157748129358,safe,0.0,1.0
100,10,0.02,0,16999.745464775282,,,1.0,1.0
